player,club,nationality,position,appearances
Nathan Aké,AFC Bournemouth,Netherlands,DEF,38
Steve Cook,AFC Bournemouth,England,DEF,31
Adam Smith,AFC Bournemouth,England,DEF,25
Charlie Daniels,AFC Bournemouth,England,DEF,21
Simon Francis,AFC Bournemouth,England,DEF,17
Nathaniel Clyne,AFC Bournemouth,England,DEF,14
Chris Mepham,AFC Bournemouth,Wales,DEF,13
Diego Rico,AFC Bournemouth,Spain,DEF,12
Jack Simpson,AFC Bournemouth,England,DEF,6
Tyrone Mings,AFC Bournemouth,England,DEF,5
Shkodran Mustafi,Arsenal,Germany,DEF,31
Sokratis,Arsenal,Greece,DEF,25
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,24
Nacho Monreal,Arsenal,Spain,DEF,22
Héctor Bellerín,Arsenal,Spain,DEF,19
Laurent Koscielny,Arsenal,France,DEF,17
Stephan Lichtsteiner,Arsenal,Switzerland,DEF,14
Rob Holding,Arsenal,England,DEF,10
Konstantinos Mavropanos,Arsenal,Greece,DEF,4
Carl Jenkinson,Arsenal,England,DEF,3
Lewis Dunk,Brighton and Hove Albion,England,DEF,36
Shane Duffy,Brighton and Hove Albion,Ireland,DEF,35
Martín Montoya,Brighton and Hove Albion,Spain,DEF,25
Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,22
Bernardo,Brighton and Hove Albion,Brazil,DEF,22
Bruno,Brighton and Hove Albion,Spain,DEF,14
Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,8
Ben Mee,Burnley,England,DEF,38
Charlie Taylor,Burnley,England,DEF,38
James Tarkowski,Burnley,England,DEF,35
Matthew Lowton,Burnley,England,DEF,21
Phil Bardsley,Burnley,Scotland,DEF,19
Kevin Long,Burnley,Ireland,DEF,6
Stephen Ward,Burnley,Ireland,DEF,3
Ben Gibson,Burnley,England,DEF,1
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,38
Sean Morrison,Cardiff City,England,DEF,34
Joe Bennett,Cardiff City,England,DEF,30
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,28
Callum Paterson,Cardiff City,Scotland,DEF,27
Lee Peltier,Cardiff City,England,DEF,20
Greg Cunningham,Cardiff City,Ireland,DEF,7
Jazz Richards,Cardiff City,Wales,DEF,4
César Azpilicueta,Chelsea,Spain,DEF,38
David Luiz,Chelsea,Brazil,DEF,36
Antonio Rüdiger,Chelsea,Germany,DEF,33
Marcos Alonso,Chelsea,Spain,DEF,31
Emerson,Chelsea,Italy,DEF,10
Andreas Christensen,Chelsea,Denmark,DEF,8
Davide Zappacosta,Chelsea,Italy,DEF,4
Gary Cahill,Chelsea,England,DEF,2
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,36
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,30
James Tomkins,Crystal Palace,England,DEF,29
Mamadou Sakho,Crystal Palace,France,DEF,27
Martin Kelly,Crystal Palace,England,DEF,13
Scott Dann,Crystal Palace,England,DEF,10
Joel Ward,Crystal Palace,England,DEF,7
Pape Souaré,Crystal Palace,Senegal,DEF,1
Lucas Digne,Everton,France,DEF,35
Michael Keane,Everton,England,DEF,33
Kurt Zouma,Everton,France,DEF,32
Seamus Coleman,Everton,Ireland,DEF,29
Yerry Mina,Everton,Colombia,DEF,13
Jonjoe Kenny,Everton,England,DEF,10
Phil Jagielka,Everton,England,DEF,7
Leighton Baines,Everton,England,DEF,6
Mason Holgate,Everton,England,DEF,5
Calum Chambers,Fulham,England,DEF,31
Denis Odoi,Fulham,Belgium,DEF,31
Joe Bryan,Fulham,England,DEF,28
Cyrus Christie,Fulham,Ireland,DEF,28
Maxime Le Marchand,Fulham,France,DEF,26
Tim Ream,Fulham,United States,DEF,26
Alfie Mawson,Fulham,England,DEF,15
Timothy Fosu-Mensah,Fulham,Netherlands,DEF,12
