player,club,nationality,position,assists
Simon Francis,AFC Bournemouth,England,DEF,2
Nathaniel Clyne,AFC Bournemouth,England,DEF,1
Steve Cook,AFC Bournemouth,England,DEF,1
Chris Mepham,AFC Bournemouth,Wales,DEF,1
Adam Smith,AFC Bournemouth,England,DEF,1
Héctor Bellerín,Arsenal,Spain,DEF,5
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,5
Nacho Monreal,Arsenal,Spain,DEF,3
Sokratis,Arsenal,Greece,DEF,2
Shane Duffy,Brighton and Hove Albion,Ireland,DEF,1
Lewis Dunk,Brighton and Hove Albion,England,DEF,1
Bernardo,Brighton and Hove Albion,Brazil,DEF,1
Martín Montoya,Brighton and Hove Albion,Spain,DEF,1
Bruno,Brighton and Hove Albion,Spain,DEF,1
Ben Mee,Burnley,England,DEF,2
Kevin Long,Burnley,Ireland,DEF,1
James Tarkowski,Burnley,England,DEF,1
Charlie Taylor,Burnley,England,DEF,1
Sean Morrison,Cardiff City,England,DEF,3
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,1
Joe Bennett,Cardiff City,England,DEF,1
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,1
Callum Paterson,Cardiff City,Scotland,DEF,1
César Azpilicueta,Chelsea,Spain,DEF,5
Marcos Alonso,Chelsea,Spain,DEF,4
David Luiz,Chelsea,Brazil,DEF,2
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,2
Scott Dann,Crystal Palace,England,DEF,1
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,1
James Tomkins,Crystal Palace,England,DEF,1
Lucas Digne,Everton,France,DEF,4
Seamus Coleman,Everton,Ireland,DEF,2
Michael Keane,Everton,England,DEF,2
Kurt Zouma,Everton,France,DEF,2
Jonjoe Kenny,Everton,England,DEF,1
Joe Bryan,Fulham,England,DEF,1
Cyrus Christie,Fulham,Ireland,DEF,1
Maxime Le Marchand,Fulham,France,DEF,1
Håvard Nordtveit,Fulham,Norway,DEF,1
Denis Odoi,Fulham,Belgium,DEF,1
Chris Löwe,Huddersfield Town,Germany,DEF,2
Erik Durm,Huddersfield Town,Germany,DEF,1
Zanka,Huddersfield Town,Denmark,DEF,1
Terence Kongolo,Huddersfield Town,Netherlands,DEF,1
Ricardo Pereira,Leicester City,Portugal,DEF,6
Ben Chilwell,Leicester City,England,DEF,4
Trent Alexander-Arnold,Liverpool,England,DEF,12
Andrew Robertson,Liverpool,Scotland,DEF,11
Virgil van Dijk,Liverpool,Netherlands,DEF,2
Benjamin Mendy,Manchester City,France,DEF,5
Aymeric Laporte,Manchester City,France,DEF,3
Fabian Delph,Manchester City,England,DEF,1
Kyle Walker,Manchester City,England,DEF,1
Luke Shaw,Manchester United,England,DEF,4
Diogo Dalot,Manchester United,Portugal,DEF,2
Ashley Young,Manchester United,England,DEF,2
Phil Jones,Manchester United,England,DEF,1
Victor Lindelöf,Manchester United,Sweden,DEF,1
Javier Manquillo,Newcastle United,Spain,DEF,3
DeAndre Yedlin,Newcastle United,United States,DEF,2
Federico Fernández,Newcastle United,Argentina,DEF,1
Jamaal Lascelles,Newcastle United,England,DEF,1
Fabian Schär,Newcastle United,Switzerland,DEF,1
Matt Targett,Southampton,England,DEF,3
Cédric Soares,Southampton,Portugal,DEF,2
Jan Bednarek,Southampton,Poland,DEF,1
Yan Valery,Southampton,France,DEF,1
Maya Yoshida,Southampton,Japan,DEF,1
Danny Rose,Tottenham Hotspur,England,DEF,3
Kieran Trippier,Tottenham Hotspur,England,DEF,3
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,3
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,2
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,1
José Holebas,Watford,Greece,DEF,6
Daryl Janmaat,Watford,Netherlands,DEF,2
Kiko Femenía,Watford,Spain,DEF,1
Adam Masina,Watford,Italy,DEF,1
Aaron Cresswell,West Ham United,England,DEF,1
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,1
Angelo Ogbonna,West Ham United,Italy,DEF,1
Pablo Zabaleta,West Ham United,Argentina,DEF,1
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,5
Jonny,Wolverhampton Wanderers,Spain,DEF,1
