player,club,nationality,position,corners
Diego Rico,AFC Bournemouth,Spain,DEF,12
Adam Smith,AFC Bournemouth,England,DEF,6
Charlie Daniels,AFC Bournemouth,England,DEF,2
Simon Francis,AFC Bournemouth,England,DEF,1
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,3
Bruno,Brighton and Hove Albion,Spain,DEF,1
Charlie Taylor,Burnley,England,DEF,4
Joe Bennett,Cardiff City,England,DEF,1
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,2
Lucas Digne,Everton,France,DEF,89
Leighton Baines,Everton,England,DEF,8
Joe Bryan,Fulham,England,DEF,15
Chris Löwe,Huddersfield Town,Germany,DEF,34
Erik Durm,Huddersfield Town,Germany,DEF,1
Ben Chilwell,Leicester City,England,DEF,4
Trent Alexander-Arnold,Liverpool,England,DEF,74
Andrew Robertson,Liverpool,Scotland,DEF,4
Kyle Walker,Manchester City,England,DEF,1
Ashley Young,Manchester United,England,DEF,102
Luke Shaw,Manchester United,England,DEF,15
Diogo Dalot,Manchester United,Portugal,DEF,3
Paul Dummett,Newcastle United,Wales,DEF,1
Ryan Bertrand,Southampton,England,DEF,30
Matt Targett,Southampton,England,DEF,20
Cédric Soares,Southampton,Portugal,DEF,1
Kieran Trippier,Tottenham Hotspur,England,DEF,73
Danny Rose,Tottenham Hotspur,England,DEF,17
Ben Davies,Tottenham Hotspur,Wales,DEF,7
José Holebas,Watford,Greece,DEF,115
Adam Masina,Watford,Italy,DEF,16
Kiko Femenía,Watford,Spain,DEF,7
Aaron Cresswell,West Ham United,England,DEF,8
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,1
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,2
