player,club,nationality,position,crosses
Diego Rico,AFC Bournemouth,Spain,DEF,39
Simon Francis,AFC Bournemouth,England,DEF,32
Charlie Daniels,AFC Bournemouth,England,DEF,27
Adam Smith,AFC Bournemouth,England,DEF,22
Nathaniel Clyne,AFC Bournemouth,England,DEF,18
Steve Cook,AFC Bournemouth,England,DEF,11
Nathan Aké,AFC Bournemouth,Netherlands,DEF,6
Chris Mepham,AFC Bournemouth,Wales,DEF,1
Tyrone Mings,AFC Bournemouth,England,DEF,1
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,51
Héctor Bellerín,Arsenal,Spain,DEF,39
Stephan Lichtsteiner,Arsenal,Switzerland,DEF,30
Nacho Monreal,Arsenal,Spain,DEF,28
Shkodran Mustafi,Arsenal,Germany,DEF,11
Carl Jenkinson,Arsenal,England,DEF,3
Rob Holding,Arsenal,England,DEF,1
Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,57
Martín Montoya,Brighton and Hove Albion,Spain,DEF,36
Bernardo,Brighton and Hove Albion,Brazil,DEF,31
Bruno,Brighton and Hove Albion,Spain,DEF,17
Shane Duffy,Brighton and Hove Albion,Ireland,DEF,2
Lewis Dunk,Brighton and Hove Albion,England,DEF,2
Charlie Taylor,Burnley,England,DEF,119
Matthew Lowton,Burnley,England,DEF,58
Phil Bardsley,Burnley,Scotland,DEF,37
Stephen Ward,Burnley,Ireland,DEF,8
James Tarkowski,Burnley,England,DEF,5
Ben Mee,Burnley,England,DEF,4
Joe Bennett,Cardiff City,England,DEF,43
Callum Paterson,Cardiff City,Scotland,DEF,23
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,20
Greg Cunningham,Cardiff City,Ireland,DEF,7
Lee Peltier,Cardiff City,England,DEF,6
Sean Morrison,Cardiff City,England,DEF,5
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,1
César Azpilicueta,Chelsea,Spain,DEF,118
Marcos Alonso,Chelsea,Spain,DEF,98
Emerson,Chelsea,Italy,DEF,28
David Luiz,Chelsea,Brazil,DEF,4
Antonio Rüdiger,Chelsea,Germany,DEF,1
Davide Zappacosta,Chelsea,Italy,DEF,1
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,42
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,17
Joel Ward,Crystal Palace,England,DEF,7
Martin Kelly,Crystal Palace,England,DEF,2
James Tomkins,Crystal Palace,England,DEF,1
Lucas Digne,Everton,France,DEF,280
Seamus Coleman,Everton,Ireland,DEF,81
Leighton Baines,Everton,England,DEF,18
Jonjoe Kenny,Everton,England,DEF,17
Michael Keane,Everton,England,DEF,4
Kurt Zouma,Everton,France,DEF,2
Joe Bryan,Fulham,England,DEF,115
Cyrus Christie,Fulham,Ireland,DEF,90
Maxime Le Marchand,Fulham,France,DEF,17
Timothy Fosu-Mensah,Fulham,Netherlands,DEF,15
Calum Chambers,Fulham,England,DEF,14
Denis Odoi,Fulham,Belgium,DEF,13
Alfie Mawson,Fulham,England,DEF,3
Neeskens Kebano,Fulham,The Democratic Republic Of Congo,DEF,2
Tim Ream,Fulham,United States,DEF,1
Chris Löwe,Huddersfield Town,Germany,DEF,140
Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,91
Erik Durm,Huddersfield Town,Germany,DEF,66
Terence Kongolo,Huddersfield Town,Netherlands,DEF,28
Tommy Smith,Huddersfield Town,England,DEF,24
Zanka,Huddersfield Town,Denmark,DEF,4
Demeaco Duhaney,Huddersfield Town,England,DEF,2
Ben Chilwell,Leicester City,England,DEF,132
Ricardo Pereira,Leicester City,Portugal,DEF,104
Christian Fuchs,Leicester City,Austria,DEF,15
Çaglar Söyüncü,Leicester City,Turkey,DEF,2
Jonny Evans,Leicester City,Northern Ireland,DEF,1
Harry Maguire,Leicester City,England,DEF,1
Danny Simpson,Leicester City,England,DEF,1
Trent Alexander-Arnold,Liverpool,England,DEF,201
Andrew Robertson,Liverpool,Scotland,DEF,135
Joseph Gomez,Liverpool,England,DEF,7
Dejan Lovren,Liverpool,Croatia,DEF,4
Nathaniel Clyne,Liverpool,England,DEF,3
Alberto Moreno,Liverpool,Spain,DEF,3
Kyle Walker,Manchester City,England,DEF,59
Benjamin Mendy,Manchester City,France,DEF,51
Danilo,Manchester City,Brazil,DEF,12
Fabian Delph,Manchester City,England,DEF,8
Aymeric Laporte,Manchester City,France,DEF,6
John Stones,Manchester City,England,DEF,2
Nicolás Otamendi,Manchester City,Argentina,DEF,1
Ashley Young,Manchester United,England,DEF,197
Luke Shaw,Manchester United,England,DEF,52
Diogo Dalot,Manchester United,Portugal,DEF,50
Antonio Valencia,Manchester United,Ecuador,DEF,9
Matteo Darmian,Manchester United,Italy,DEF,3
Marcos Rojo,Manchester United,Argentina,DEF,3
Phil Jones,Manchester United,England,DEF,1
Victor Lindelöf,Manchester United,Sweden,DEF,1
DeAndre Yedlin,Newcastle United,United States,DEF,77
Paul Dummett,Newcastle United,Wales,DEF,32
Javier Manquillo,Newcastle United,Spain,DEF,28
Fabian Schär,Newcastle United,Switzerland,DEF,17
Florian Lejeune,Newcastle United,France,DEF,7
Federico Fernández,Newcastle United,Argentina,DEF,5
Ciaran Clark,Newcastle United,Ireland,DEF,3
Jamaal Lascelles,Newcastle United,England,DEF,2
Antonio Barreca,Newcastle United,Italy,DEF,1
Ryan Bertrand,Southampton,England,DEF,93
Matt Targett,Southampton,England,DEF,77
Cédric Soares,Southampton,Portugal,DEF,64
Yan Valery,Southampton,France,DEF,55
Wesley Hoedt,Southampton,Netherlands,DEF,2
Jack Stephens,Southampton,England,DEF,2
Jan Bednarek,Southampton,Poland,DEF,1
Jannik Vestergaard,Southampton,Denmark,DEF,1
Kieran Trippier,Tottenham Hotspur,England,DEF,185
Danny Rose,Tottenham Hotspur,England,DEF,89
Ben Davies,Tottenham Hotspur,Wales,DEF,43
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,28
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,24
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,7
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,6
Juan Foyth,Tottenham Hotspur,Argentina,DEF,2
José Holebas,Watford,Greece,DEF,209
Kiko Femenía,Watford,Spain,DEF,64
Daryl Janmaat,Watford,Netherlands,DEF,61
Adam Masina,Watford,Italy,DEF,31
Marc Navarro,Watford,Spain,DEF,5
Craig Cathcart,Watford,Northern Ireland,DEF,3
Miguel Britos,Watford,Uruguay,DEF,1
Christian Kabasele,Watford,Belgium,DEF,1
Adrian Mariappa,Watford,Jamaica,DEF,1
Aaron Cresswell,West Ham United,England,DEF,75
Pablo Zabaleta,West Ham United,Argentina,DEF,48
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,37
Ryan Fredericks,West Ham United,England,DEF,20
Declan Rice,West Ham United,England,DEF,3
Fabián Balbuena,West Ham United,Paraguay,DEF,1
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,62
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,52
Jonny,Wolverhampton Wanderers,Spain,DEF,46
Ryan Bennett,Wolverhampton Wanderers,England,DEF,1
