rank,player,club,nationality,position,minutesPlayed
1,Nathan Aké,AFC Bournemouth,Netherlands,DEF,"3,412"
2,Steve Cook,AFC Bournemouth,England,DEF,"2,787"
3,Adam Smith,AFC Bournemouth,England,DEF,"2,072"
4,Charlie Daniels,AFC Bournemouth,England,DEF,"1,585"
5,Simon Francis,AFC Bournemouth,England,DEF,"1,227"
6,Nathaniel Clyne,AFC Bournemouth,England,DEF,"1,145"
7,Chris Mepham,AFC Bournemouth,Wales,DEF,850
8,Diego Rico,AFC Bournemouth,Spain,DEF,607
9,Jack Simpson,AFC Bournemouth,England,DEF,403
10,Tyrone Mings,AFC Bournemouth,England,DEF,142
1,Shkodran Mustafi,Arsenal,Germany,DEF,"2,615"
2,Sokratis,Arsenal,Greece,DEF,"2,199"
3,Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,"1,890"
4,Nacho Monreal,Arsenal,Spain,DEF,"1,861"
5,Héctor Bellerín,Arsenal,Spain,DEF,"1,533"
6,Laurent Koscielny,Arsenal,France,DEF,"1,330"
7,Stephan Lichtsteiner,Arsenal,Switzerland,DEF,940
8,Rob Holding,Arsenal,England,DEF,807
9,Carl Jenkinson,Arsenal,England,DEF,165
10,Konstantinos Mavropanos,Arsenal,Greece,DEF,149
1,Lewis Dunk,Brighton and Hove Albion,England,DEF,"3,153"
2,Shane Duffy,Brighton and Hove Albion,Ireland,DEF,"3,088"
3,Martín Montoya,Brighton and Hove Albion,Spain,DEF,"2,166"
4,Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,"1,805"
5,Bernardo,Brighton and Hove Albion,Brazil,DEF,"1,750"
6,Bruno,Brighton and Hove Albion,Spain,DEF,"1,136"
7,Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,591
1,Ben Mee,Burnley,England,DEF,"3,420"
2,Charlie Taylor,Burnley,England,DEF,"3,240"
3,James Tarkowski,Burnley,England,DEF,"3,087"
4,Matthew Lowton,Burnley,England,DEF,"1,748"
5,Phil Bardsley,Burnley,Scotland,DEF,"1,672"
6,Kevin Long,Burnley,Ireland,DEF,513
7,Stephen Ward,Burnley,Ireland,DEF,230
8,Ben Gibson,Burnley,England,DEF,63
1,Bruno Ecuele Manga,Cardiff City,Gabon,DEF,"3,375"
2,Sean Morrison,Cardiff City,England,DEF,"3,040"
3,Joe Bennett,Cardiff City,England,DEF,"2,641"
4,Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,"2,475"
5,Callum Paterson,Cardiff City,Scotland,DEF,"1,996"
6,Lee Peltier,Cardiff City,England,DEF,"1,543"
7,Greg Cunningham,Cardiff City,Ireland,DEF,630
8,Jazz Richards,Cardiff City,Wales,DEF,129
1,César Azpilicueta,Chelsea,Spain,DEF,"3,403"
2,David Luiz,Chelsea,Brazil,DEF,"3,239"
3,Antonio Rüdiger,Chelsea,Germany,DEF,"2,874"
4,Marcos Alonso,Chelsea,Spain,DEF,"2,761"
5,Emerson,Chelsea,Italy,DEF,660
6,Andreas Christensen,Chelsea,Denmark,DEF,615
7,Davide Zappacosta,Chelsea,Italy,DEF,125
8,Gary Cahill,Chelsea,England,DEF,22
1,Patrick van Aanholt,Crystal Palace,Netherlands,DEF,"3,197"
2,James Tomkins,Crystal Palace,England,DEF,"2,562"
3,Mamadou Sakho,Crystal Palace,France,DEF,"2,417"
4,Jeffrey Schlupp,Crystal Palace,Ghana,DEF,"1,665"
5,Martin Kelly,Crystal Palace,England,DEF,"1,110"
6,Scott Dann,Crystal Palace,England,DEF,661
7,Joel Ward,Crystal Palace,England,DEF,551
8,Pape Souaré,Crystal Palace,Senegal,DEF,1
1,Michael Keane,Everton,England,DEF,"2,969"
2,Lucas Digne,Everton,France,DEF,"2,966"
3,Kurt Zouma,Everton,France,DEF,"2,612"
4,Seamus Coleman,Everton,Ireland,DEF,"2,560"
5,Yerry Mina,Everton,Colombia,DEF,892
6,Jonjoe Kenny,Everton,England,DEF,790
7,Mason Holgate,Everton,England,DEF,407
8,Leighton Baines,Everton,England,DEF,376
9,Phil Jagielka,Everton,England,DEF,330
1,Denis Odoi,Fulham,Belgium,DEF,"2,594"
2,Calum Chambers,Fulham,England,DEF,"2,586"
3,Joe Bryan,Fulham,England,DEF,"2,347"
4,Maxime Le Marchand,Fulham,France,DEF,"2,252"
5,Tim Ream,Fulham,United States,DEF,"2,049"
6,Cyrus Christie,Fulham,Ireland,DEF,"1,945"
7,Alfie Mawson,Fulham,England,DEF,"1,130"
8,Timothy Fosu-Mensah,Fulham,Netherlands,DEF,794
9,Håvard Nordtveit,Fulham,Norway,DEF,361
10,Neeskens Kebano,Fulham,The Democratic Republic Of Congo,DEF,103
1,Christopher Schindler,Huddersfield Town,Germany,DEF,"3,262"
2,Terence Kongolo,Huddersfield Town,Netherlands,DEF,"2,721"
3,Zanka,Huddersfield Town,Denmark,DEF,"2,148"
4,Chris Löwe,Huddersfield Town,Germany,DEF,"2,056"
5,Erik Durm,Huddersfield Town,Germany,DEF,"2,052"
6,Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,"1,840"
7,Tommy Smith,Huddersfield Town,England,DEF,"1,142"
8,Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,719
9,Demeaco Duhaney,Huddersfield Town,England,DEF,45
1,Ben Chilwell,Leicester City,England,DEF,"3,240"
2,Ricardo Pereira,Leicester City,Portugal,DEF,"3,125"
3,Harry Maguire,Leicester City,England,DEF,"2,599"
4,Jonny Evans,Leicester City,Northern Ireland,DEF,"1,994"
5,Wes Morgan,Leicester City,Jamaica,DEF,"1,926"
6,Çaglar Söyüncü,Leicester City,Turkey,DEF,372
7,Danny Simpson,Leicester City,England,DEF,291
8,Christian Fuchs,Leicester City,Austria,DEF,206
1,Virgil van Dijk,Liverpool,Netherlands,DEF,"3,385"
2,Andrew Robertson,Liverpool,Scotland,DEF,"3,219"
3,Trent Alexander-Arnold,Liverpool,England,DEF,"2,466"
