player,club,nationality,position,passes
Nathan Aké,AFC Bournemouth,Netherlands,DEF,"1,696"
Steve Cook,AFC Bournemouth,England,DEF,"1,501"
Adam Smith,AFC Bournemouth,England,DEF,872
Charlie Daniels,AFC Bournemouth,England,DEF,840
Simon Francis,AFC Bournemouth,England,DEF,654
Nathaniel Clyne,AFC Bournemouth,England,DEF,459
Chris Mepham,AFC Bournemouth,Wales,DEF,405
Diego Rico,AFC Bournemouth,Spain,DEF,285
Jack Simpson,AFC Bournemouth,England,DEF,236
Tyrone Mings,AFC Bournemouth,England,DEF,87
Shkodran Mustafi,Arsenal,Germany,DEF,"1,765"
Sokratis,Arsenal,Greece,DEF,"1,387"
Nacho Monreal,Arsenal,Spain,DEF,"1,168"
Sead Kolasinac,Arsenal,Bosnia And Herzegovina,DEF,971
Laurent Koscielny,Arsenal,France,DEF,891
Héctor Bellerín,Arsenal,Spain,DEF,785
Rob Holding,Arsenal,England,DEF,614
Stephan Lichtsteiner,Arsenal,Switzerland,DEF,480
Konstantinos Mavropanos,Arsenal,Greece,DEF,137
Carl Jenkinson,Arsenal,England,DEF,75
Lewis Dunk,Brighton and Hove Albion,England,DEF,"1,490"
Shane Duffy,Brighton and Hove Albion,Ireland,DEF,"1,305"
Martín Montoya,Brighton and Hove Albion,Spain,DEF,858
Bernardo,Brighton and Hove Albion,Brazil,DEF,785
Gaëtan Bong,Brighton and Hove Albion,Cameroon,DEF,602
Bruno,Brighton and Hove Albion,Spain,DEF,510
Leon Balogun,Brighton and Hove Albion,Nigeria,DEF,216
Ben Mee,Burnley,England,DEF,"1,502"
Charlie Taylor,Burnley,England,DEF,"1,175"
James Tarkowski,Burnley,England,DEF,"1,135"
Matthew Lowton,Burnley,England,DEF,638
Phil Bardsley,Burnley,Scotland,DEF,555
Kevin Long,Burnley,Ireland,DEF,168
Stephen Ward,Burnley,Ireland,DEF,113
Ben Gibson,Burnley,England,DEF,33
Bruno Ecuele Manga,Cardiff City,Gabon,DEF,957
Sean Morrison,Cardiff City,England,DEF,737
Joe Bennett,Cardiff City,England,DEF,694
Callum Paterson,Cardiff City,Scotland,DEF,552
Sol Bamba,Cardiff City,Cote D'Ivoire,DEF,550
Lee Peltier,Cardiff City,England,DEF,342
Greg Cunningham,Cardiff City,Ireland,DEF,179
Jazz Richards,Cardiff City,Wales,DEF,26
David Luiz,Chelsea,Brazil,DEF,"2,620"
Antonio Rüdiger,Chelsea,Germany,DEF,"2,537"
César Azpilicueta,Chelsea,Spain,DEF,"2,483"
Marcos Alonso,Chelsea,Spain,DEF,"1,881"
Andreas Christensen,Chelsea,Denmark,DEF,458
Emerson,Chelsea,Italy,DEF,436
Davide Zappacosta,Chelsea,Italy,DEF,75
Gary Cahill,Chelsea,England,DEF,18
Patrick van Aanholt,Crystal Palace,Netherlands,DEF,"1,610"
Mamadou Sakho,Crystal Palace,France,DEF,"1,321"
James Tomkins,Crystal Palace,England,DEF,"1,111"
Jeffrey Schlupp,Crystal Palace,Ghana,DEF,630
Martin Kelly,Crystal Palace,England,DEF,357
Scott Dann,Crystal Palace,England,DEF,264
Joel Ward,Crystal Palace,England,DEF,190
Pape Souaré,Crystal Palace,Senegal,DEF,3
Michael Keane,Everton,England,DEF,"1,592"
Lucas Digne,Everton,France,DEF,"1,457"
Kurt Zouma,Everton,France,DEF,"1,442"
Seamus Coleman,Everton,Ireland,DEF,"1,194"
Yerry Mina,Everton,Colombia,DEF,504
Jonjoe Kenny,Everton,England,DEF,427
Mason Holgate,Everton,England,DEF,253
Phil Jagielka,Everton,England,DEF,192
Leighton Baines,Everton,England,DEF,191
Calum Chambers,Fulham,England,DEF,"1,484"
Maxime Le Marchand,Fulham,France,DEF,"1,386"
Denis Odoi,Fulham,Belgium,DEF,"1,332"
Tim Ream,Fulham,United States,DEF,"1,053"
Joe Bryan,Fulham,England,DEF,951
Cyrus Christie,Fulham,Ireland,DEF,884
Alfie Mawson,Fulham,England,DEF,477
Timothy Fosu-Mensah,Fulham,Netherlands,DEF,406
Håvard Nordtveit,Fulham,Norway,DEF,225
Neeskens Kebano,Fulham,The Democratic Republic Of Congo,DEF,29
Christopher Schindler,Huddersfield Town,Germany,DEF,"1,551"
Zanka,Huddersfield Town,Denmark,DEF,"1,173"
Terence Kongolo,Huddersfield Town,Netherlands,DEF,"1,149"
Chris Löwe,Huddersfield Town,Germany,DEF,840
Erik Durm,Huddersfield Town,Germany,DEF,774
Florent Hadergjonaj,Huddersfield Town,Switzerland,DEF,726
Tommy Smith,Huddersfield Town,England,DEF,486
Jon Gorenc Stankovic,Huddersfield Town,Slovenia,DEF,294
Demeaco Duhaney,Huddersfield Town,England,DEF,19
Harry Maguire,Leicester City,England,DEF,"1,747"
Ben Chilwell,Leicester City,England,DEF,"1,684"
Ricardo Pereira,Leicester City,Portugal,DEF,"1,532"
Jonny Evans,Leicester City,Northern Ireland,DEF,"1,029"
Wes Morgan,Leicester City,Jamaica,DEF,892
Çaglar Söyüncü,Leicester City,Turkey,DEF,220
Christian Fuchs,Leicester City,Austria,DEF,118
Danny Simpson,Leicester City,England,DEF,110
Virgil van Dijk,Liverpool,Netherlands,DEF,"3,037"
Andrew Robertson,Liverpool,Scotland,DEF,"2,396"
Trent Alexander-Arnold,Liverpool,England,DEF,"1,697"
Joel Matip,Liverpool,Cameroon,DEF,"1,341"
Dejan Lovren,Liverpool,Croatia,DEF,821
Joseph Gomez,Liverpool,England,DEF,787
Alberto Moreno,Liverpool,Spain,DEF,105
Nathaniel Clyne,Liverpool,England,DEF,59
Aymeric Laporte,Manchester City,France,DEF,"2,998"
Kyle Walker,Manchester City,England,DEF,"2,389"
John Stones,Manchester City,England,DEF,"1,751"
Nicolás Otamendi,Manchester City,Argentina,DEF,"1,245"
Vincent Kompany,Manchester City,Belgium,DEF,"1,227"
Danilo,Manchester City,Brazil,DEF,767
Fabian Delph,Manchester City,England,DEF,693
Benjamin Mendy,Manchester City,France,DEF,650
Luke Shaw,Manchester United,England,DEF,"1,658"
Victor Lindelöf,Manchester United,Sweden,DEF,"1,490"
Ashley Young,Manchester United,England,DEF,"1,376"
Chris Smalling,Manchester United,England,DEF,954
Phil Jones,Manchester United,England,DEF,754
Diogo Dalot,Manchester United,Portugal,DEF,423
Eric Bailly,Manchester United,Cote D'Ivoire,DEF,302
Antonio Valencia,Manchester United,Ecuador,DEF,271
Matteo Darmian,Manchester United,Italy,DEF,175
Marcos Rojo,Manchester United,Argentina,DEF,124
Jamaal Lascelles,Newcastle United,England,DEF,"1,104"
Fabian Schär,Newcastle United,Switzerland,DEF,994
Paul Dummett,Newcastle United,Wales,DEF,758
DeAndre Yedlin,Newcastle United,United States,DEF,732
Federico Fernández,Newcastle United,Argentina,DEF,611
Florian Lejeune,Newcastle United,France,DEF,563
Javier Manquillo,Newcastle United,Spain,DEF,352
Ciaran Clark,Newcastle United,Ireland,DEF,304
Antonio Barreca,Newcastle United,Italy,DEF,2
Jannik Vestergaard,Southampton,Denmark,DEF,845
Jan Bednarek,Southampton,Poland,DEF,822
Ryan Bertrand,Southampton,England,DEF,774
Jack Stephens,Southampton,England,DEF,767
Wesley Hoedt,Southampton,Netherlands,DEF,621
Cédric Soares,Southampton,Portugal,DEF,594
Maya Yoshida,Southampton,Japan,DEF,556
Matt Targett,Southampton,England,DEF,443
Yan Valery,Southampton,France,DEF,399
Kayne Ramsay,Southampton,England,DEF,14
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,"2,358"
Kieran Trippier,Tottenham Hotspur,England,DEF,"1,542"
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,"1,531"
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,"1,440"
Ben Davies,Tottenham Hotspur,Wales,DEF,"1,085"
Danny Rose,Tottenham Hotspur,England,DEF,929
Juan Foyth,Tottenham Hotspur,Argentina,DEF,586
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,269
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,188
Craig Cathcart,Watford,Northern Ireland,DEF,"1,280"
Kiko Femenía,Watford,Spain,DEF,925
