player,club,nationality,position,corners
Joshua King,AFC Bournemouth,Norway,FWD,1
Callum Wilson,AFC Bournemouth,England,FWD,1
Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,5
Dwight McNeil,Burnley,England,FWD,22
Ashley Barnes,Burnley,Austria,FWD,1
Matej Vydra,Burnley,Czech Republic,FWD,1
David Junior Hoilett,Cardiff City,Canada,FWD,26
Nathaniel Mendez-Laing,Cardiff City,England,FWD,2
Willian,Chelsea,Brazil,FWD,111
Eden Hazard,Chelsea,Belgium,FWD,92
Pedro,Chelsea,Spain,FWD,5
Callum Hudson-Odoi,Chelsea,England,FWD,3
Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,2
Ademola Lookman,Everton,England,FWD,7
Theo Walcott,Everton,England,FWD,2
Floyd Ayité,Fulham,Togo,FWD,2
Adama Diakhaby,Huddersfield Town,France,FWD,1
Mohamed Salah,Liverpool,Egypt,FWD,35
Xherdan Shaqiri,Liverpool,Switzerland,FWD,27
Roberto Firmino,Liverpool,Brazil,FWD,2
Sadio Mané,Liverpool,Senegal,FWD,2
Leroy Sané,Manchester City,Germany,FWD,50
Raheem Sterling,Manchester City,England,FWD,19
Sergio Agüero,Manchester City,Argentina,FWD,1
Marcus Rashford,Manchester United,England,FWD,23
Alexis Sánchez,Manchester United,Chile,FWD,5
Mason Greenwood,Manchester United,England,FWD,2
Anthony Martial,Manchester United,France,FWD,1
Son Heung-Min,Tottenham Hotspur,South Korea,FWD,5
Gerard Deulofeu,Watford,Spain,FWD,9
Troy Deeney,Watford,England,FWD,1
Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,FWD,17
