player,club,nationality,position,goals
Callum Wilson,AFC Bournemouth,England,FWD,14
Joshua King,AFC Bournemouth,Norway,FWD,12
Lys Mousset,AFC Bournemouth,France,FWD,1
Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,22
Alexandre Lacazette,Arsenal,France,FWD,13
Eddie Nketiah,Arsenal,England,FWD,1
Danny Welbeck,Arsenal,England,FWD,1
Glenn Murray,Brighton and Hove Albion,England,FWD,13
Florin Andone,Brighton and Hove Albion,Romania,FWD,3
Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,2
Ashley Barnes,Burnley,Austria,FWD,12
Chris Wood,Burnley,New Zealand,FWD,10
Dwight McNeil,Burnley,England,FWD,3
Sam Vokes,Burnley,Wales,FWD,3
Matej Vydra,Burnley,Czech Republic,FWD,1
Nathaniel Mendez-Laing,Cardiff City,England,FWD,4
David Junior Hoilett,Cardiff City,Canada,FWD,3
Danny Ward,Cardiff City,England,FWD,1
Kenneth Zohore,Cardiff City,Denmark,FWD,1
Eden Hazard,Chelsea,Belgium,FWD,16
Pedro,Chelsea,Spain,FWD,8
Gonzalo Higuaín,Chelsea,Argentina,FWD,5
Álvaro Morata,Chelsea,Spain,FWD,5
Willian,Chelsea,Brazil,FWD,3
Olivier Giroud,Chelsea,France,FWD,2
Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,10
Michy Batshuayi,Crystal Palace,Belgium,FWD,5
Jordan Ayew,Crystal Palace,Ghana,FWD,1
Christian Benteke,Crystal Palace,Belgium,FWD,1
Richarlison,Everton,Brazil,FWD,13
Dominic Calvert-Lewin,Everton,England,FWD,6
Theo Walcott,Everton,England,FWD,5
Cenk Tosun,Everton,Turkey,FWD,3
Cenk Tosun,Everton,Turkey,FWD,3
Dominic Calvert-Lewin,Everton,England,FWD,2
Ademola Lookman,Everton,England,FWD,2
Theo Walcott,Everton,England,FWD,2
Richarlison,Everton,Brazil,FWD,1
Aleksandar Mitrovic,Fulham,Serbia,FWD,11
Aboubakar Kamara,Fulham,France,FWD,3
Floyd Ayité,Fulham,Togo,FWD,1
Luciano Vietto,Fulham,Argentina,FWD,1
Karlan Grant,Huddersfield Town,England,FWD,4
Steve Mounie,Huddersfield Town,Benin,FWD,2
Jamie Vardy,Leicester City,England,FWD,18
Kelechi Iheanacho,Leicester City,Nigeria,FWD,1
Sadio Mané,Liverpool,Senegal,FWD,22
Mohamed Salah,Liverpool,Egypt,FWD,22
Roberto Firmino,Liverpool,Brazil,FWD,12
Xherdan Shaqiri,Liverpool,Switzerland,FWD,6
Divock Origi,Liverpool,Belgium,FWD,3
Daniel Sturridge,Liverpool,England,FWD,2
Sergio Agüero,Manchester City,Argentina,FWD,21
Raheem Sterling,Manchester City,England,FWD,17
Leroy Sané,Manchester City,Germany,FWD,10
Gabriel Jesus,Manchester City,Brazil,FWD,7
Romelu Lukaku,Manchester United,Belgium,FWD,12
Anthony Martial,Manchester United,France,FWD,10
Marcus Rashford,Manchester United,England,FWD,10
Alexis Sánchez,Manchester United,Chile,FWD,1
Ayoze Pérez,Newcastle United,Spain,FWD,12
Salomón Rondón,Newcastle United,Venezuela,FWD,11
Joselu,Newcastle United,Spain,FWD,2
Yoshinori Muto,Newcastle United,Japan,FWD,1
Danny Ings,Southampton,England,FWD,7
Shane Long,Southampton,Ireland,FWD,5
Charlie Austin,Southampton,England,FWD,2
Manolo Gabbiadini,Southampton,Italy,FWD,1
Michael Obafemi,Southampton,Ireland,FWD,1
Harry Kane,Tottenham Hotspur,England,FWD,17
Son Heung-Min,Tottenham Hotspur,South Korea,FWD,12
Fernando Llorente,Tottenham Hotspur,Spain,FWD,1
Gerard Deulofeu,Watford,Spain,FWD,10
Troy Deeney,Watford,England,FWD,9
Andre Gray,Watford,England,FWD,7
Isaac Success,Watford,Nigeria,FWD,1
Marko Arnautovic,West Ham United,Austria,FWD,10
Chicharito,West Ham United,Mexico,FWD,7
Lucas Pérez,West Ham United,Spain,FWD,3
Andriy Yarmolenko,West Ham United,Ukraine,FWD,2
Raúl Jiménez,Wolverhampton Wanderers,Mexico,FWD,13
Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,FWD,3
Adama Traoré,Wolverhampton Wanderers,Spain,FWD,1
