player,club,nationality,position,appearances
Ryan Fraser,AFC Bournemouth,Scotland,MID,38
David Brooks,AFC Bournemouth,Wales,MID,30
Jefferson Lerma,AFC Bournemouth,Colombia,MID,30
Dan Gosling,AFC Bournemouth,England,MID,25
Junior Stanislas,AFC Bournemouth,England,MID,23
Jordon Ibe,AFC Bournemouth,England,MID,19
Andrew Surman,AFC Bournemouth,England,MID,18
Lewis Cook,AFC Bournemouth,England,MID,13
Emerson Hyndman,AFC Bournemouth,United States,MID,1
Alex Iwobi,Arsenal,Nigeria,MID,35
Lucas Torreira,Arsenal,Uruguay,MID,34
Matteo Guendouzi,Arsenal,France,MID,33
Granit Xhaka,Arsenal,Switzerland,MID,29
Aaron Ramsey,Arsenal,Wales,MID,28
Henrikh Mkhitaryan,Arsenal,Armenia,MID,25
Mesut Özil,Arsenal,Germany,MID,24
Ainsley Maitland-Niles,Arsenal,England,MID,16
Mohamed Elneny,Arsenal,Egypt,MID,8
Denis Suárez,Arsenal,Spain,MID,4
Joe Willock,Arsenal,England,MID,2
Solly March,Brighton and Hove Albion,England,MID,35
Anthony Knockaert,Brighton and Hove Albion,France,MID,30
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,30
Dale Stephens,Brighton and Hove Albion,England,MID,30
Yves Bissouma,Brighton and Hove Albion,Mali,MID,28
Pascal Groß,Brighton and Hove Albion,Germany,MID,25
Beram Kayal,Brighton and Hove Albion,Israel,MID,18
Jack Cork,Burnley,England,MID,37
Ashley Westwood,Burnley,England,MID,34
Jeff Hendrick,Burnley,Ireland,MID,32
Johann Gudmundsson,Burnley,Iceland,MID,29
Robbie Brady,Burnley,Ireland,MID,16
Aaron Lennon,Burnley,England,MID,16
Steven Defour,Burnley,Belgium,MID,6
Víctor Camarasa,Cardiff City,Spain,MID,32
Josh Murphy,Cardiff City,England,MID,29
Aron Gunnarsson,Cardiff City,Iceland,MID,28
Joe Ralls,Cardiff City,England,MID,28
Bobby De Cordova-Reid,Cardiff City,England,MID,27
Harry Arter,Cardiff City,Ireland,MID,25
Kadeem Harris,Cardiff City,England,MID,13
Leandro Bacuna,Cardiff City,Curacao,MID,11
Loïc Damour,Cardiff City,France,MID,2
Jorginho,Chelsea,Italy,MID,37
N'Golo Kanté,Chelsea,France,MID,36
Mateo Kovacic,Chelsea,Croatia,MID,32
Ross Barkley,Chelsea,England,MID,27
Ruben Loftus-Cheek,Chelsea,England,MID,24
Cesc Fàbregas,Chelsea,Spain,MID,6
Victor Moses,Chelsea,Nigeria,MID,2
James McArthur,Crystal Palace,Scotland,MID,38
Luka Milivojevic,Crystal Palace,Serbia,MID,38
Andros Townsend,Crystal Palace,England,MID,38
Aaron Wan-Bissaka,Crystal Palace,England,MID,35
