player,club,nationality,position,crosses
Ryan Fraser,AFC Bournemouth,Scotland,MID,271
Junior Stanislas,AFC Bournemouth,England,MID,37
David Brooks,AFC Bournemouth,Wales,MID,33
Jordon Ibe,AFC Bournemouth,England,MID,27
Lewis Cook,AFC Bournemouth,England,MID,10
Dan Gosling,AFC Bournemouth,England,MID,6
Jefferson Lerma,AFC Bournemouth,Colombia,MID,4
Andrew Surman,AFC Bournemouth,England,MID,1
Granit Xhaka,Arsenal,Switzerland,MID,129
Henrikh Mkhitaryan,Arsenal,Armenia,MID,63
Alex Iwobi,Arsenal,Nigeria,MID,57
Mesut Özil,Arsenal,Germany,MID,42
Lucas Torreira,Arsenal,Uruguay,MID,28
Ainsley Maitland-Niles,Arsenal,England,MID,18
Matteo Guendouzi,Arsenal,France,MID,15
Aaron Ramsey,Arsenal,Wales,MID,15
Mohamed Elneny,Arsenal,Egypt,MID,3
Solly March,Brighton and Hove Albion,England,MID,152
Pascal Groß,Brighton and Hove Albion,Germany,MID,142
Anthony Knockaert,Brighton and Hove Albion,France,MID,107
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,16
Beram Kayal,Brighton and Hove Albion,Israel,MID,10
Yves Bissouma,Brighton and Hove Albion,Mali,MID,8
Dale Stephens,Brighton and Hove Albion,England,MID,2
Johann Gudmundsson,Burnley,Iceland,MID,119
Ashley Westwood,Burnley,England,MID,87
Robbie Brady,Burnley,Ireland,MID,53
Jeff Hendrick,Burnley,Ireland,MID,24
Aaron Lennon,Burnley,England,MID,24
Jack Cork,Burnley,England,MID,14
Steven Defour,Burnley,Belgium,MID,4
Víctor Camarasa,Cardiff City,Spain,MID,121
Joe Ralls,Cardiff City,England,MID,77
Josh Murphy,Cardiff City,England,MID,74
Harry Arter,Cardiff City,Ireland,MID,17
Kadeem Harris,Cardiff City,England,MID,15
Aron Gunnarsson,Cardiff City,Iceland,MID,12
Leandro Bacuna,Cardiff City,Curacao,MID,7
Bobby De Cordova-Reid,Cardiff City,England,MID,6
N'Golo Kanté,Chelsea,France,MID,19
Mateo Kovacic,Chelsea,Croatia,MID,8
Ross Barkley,Chelsea,England,MID,7
Jorginho,Chelsea,Italy,MID,2
Ruben Loftus-Cheek,Chelsea,England,MID,2
Cesc Fàbregas,Chelsea,Spain,MID,1
