player,club,nationality,position,goals
David Brooks,AFC Bournemouth,Wales,MID,7
Ryan Fraser,AFC Bournemouth,Scotland,MID,7
Dan Gosling,AFC Bournemouth,England,MID,2
Jefferson Lerma,AFC Bournemouth,Colombia,MID,2
Junior Stanislas,AFC Bournemouth,England,MID,2
Jordon Ibe,AFC Bournemouth,England,MID,1
Henrikh Mkhitaryan,Arsenal,Armenia,MID,6
Mesut Özil,Arsenal,Germany,MID,5
Aaron Ramsey,Arsenal,Wales,MID,4
Granit Xhaka,Arsenal,Switzerland,MID,4
Alex Iwobi,Arsenal,Nigeria,MID,3
Lucas Torreira,Arsenal,Uruguay,MID,2
Ainsley Maitland-Niles,Arsenal,England,MID,1
Pascal Groß,Brighton and Hove Albion,Germany,MID,3
Anthony Knockaert,Brighton and Hove Albion,France,MID,2
Beram Kayal,Brighton and Hove Albion,Israel,MID,1
Solly March,Brighton and Hove Albion,England,MID,1
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,1
Dale Stephens,Brighton and Hove Albion,England,MID,1
Johann Gudmundsson,Burnley,Iceland,MID,3
Jeff Hendrick,Burnley,Ireland,MID,3
Ashley Westwood,Burnley,England,MID,2
Jack Cork,Burnley,England,MID,1
Aaron Lennon,Burnley,England,MID,1
Víctor Camarasa,Cardiff City,Spain,MID,5
Bobby De Cordova-Reid,Cardiff City,England,MID,5
Josh Murphy,Cardiff City,England,MID,3
Aron Gunnarsson,Cardiff City,Iceland,MID,1
Kadeem Harris,Cardiff City,England,MID,1
Ruben Loftus-Cheek,Chelsea,England,MID,6
N'Golo Kanté,Chelsea,France,MID,4
Ross Barkley,Chelsea,England,MID,3
Jorginho,Chelsea,Italy,MID,2
Luka Milivojevic,Crystal Palace,Serbia,MID,12
Andros Townsend,Crystal Palace,England,MID,6
James McArthur,Crystal Palace,Scotland,MID,3
Max Meyer,Crystal Palace,Germany,MID,1
Gylfi Sigurdsson,Everton,Iceland,MID,13
Bernard,Everton,Brazil,MID,1
André Gomes,Everton,Portugal,MID,1
André Schürrle,Fulham,Germany,MID,6
Ryan Babel,Fulham,Netherlands,MID,5
Ryan Sessegnon,Fulham,England,MID,2
Tom Cairney,Fulham,Scotland,MID,1
Jean Michael Seri,Fulham,Cote D'Ivoire,MID,1
Aaron Mooy,Huddersfield Town,Australia,MID,3
Philip Billing,Huddersfield Town,Denmark,MID,2
Alex Pritchard,Huddersfield Town,England,MID,2
Juninho Bacuna,Huddersfield Town,Netherlands,MID,1
Isaac Mbenza,Huddersfield Town,Belgium,MID,1
James Maddison,Leicester City,England,MID,7
Demarai Gray,Leicester City,England,MID,4
Youri Tielemans,Leicester City,Belgium,MID,3
Marc Albrighton,Leicester City,England,MID,2
Wilfred Ndidi,Leicester City,Nigeria,MID,2
Harvey Barnes,Leicester City,England,MID,1
Rachid Ghezzal,Leicester City,Algeria,MID,1
James Milner,Liverpool,England,MID,5
Georginio Wijnaldum,Liverpool,Netherlands,MID,3
Naby Keita,Liverpool,Guinea,MID,2
Jordan Henderson,Liverpool,England,MID,1
Fabinho,Liverpool,Brazil,MID,1
Riyad Mahrez,Manchester City,Algeria,MID,7
Bernardo Silva,Manchester City,Portugal,MID,7
Ilkay Gündogan,Manchester City,Germany,MID,6
David Silva,Manchester City,Spain,MID,6
Kevin De Bruyne,Manchester City,Belgium,MID,2
Phil Foden,Manchester City,England,MID,1
Fernandinho,Manchester City,Brazil,MID,1
Paul Pogba,Manchester United,France,MID,13
Jesse Lingard,Manchester United,England,MID,4
Juan Mata,Manchester United,Spain,MID,3
Ander Herrera,Manchester United,Spain,MID,2
Scott McTominay,Manchester United,Scotland,MID,2
Andreas Pereira,Manchester United,Brazil,MID,1
Nemanja Matic,Manchester United,Serbia,MID,1
Fred,Manchester United,Brazil,MID,1
Matt Ritchie,Newcastle United,Scotland,MID,2
Christian Atsu,Newcastle United,Ghana,MID,1
Isaac Hayden,Newcastle United,England,MID,1
Sean Longstaff,Newcastle United,England,MID,1
Kenedy,Newcastle United,Brazil,MID,1
Jonjo Shelvey,Newcastle United,England,MID,1
James Ward-Prowse,Southampton,England,MID,7
Nathan Redmond,Southampton,England,MID,6
Pierre-Emile Højbjerg,Southampton,Denmark,MID,4
Stuart Armstrong,Southampton,Scotland,MID,3
Mario Lemina,Southampton,Gabon,MID,1
Oriol Romeu,Southampton,Spain,MID,1
Lucas Moura,Tottenham Hotspur,Brazil,MID,10
Christian Eriksen,Tottenham Hotspur,Denmark,MID,8
Dele Alli,Tottenham Hotspur,England,MID,5
Erik Lamela,Tottenham Hotspur,Argentina,MID,4
Eric Dier,Tottenham Hotspur,England,MID,3
Victor Wanyama,Tottenham Hotspur,Kenya,MID,1
Harry Winks,Tottenham Hotspur,England,MID,1
Roberto Pereyra,Watford,Argentina,MID,6
Abdoulaye Doucouré,Watford,France,MID,5
Will Hughes,Watford,England,MID,2
Etienne Capoue,Watford,France,MID,1
Tom Cleverley,Watford,England,MID,1
Domingos Quina,Watford,Portugal,MID,1
Ken Sema,Watford,Sweden,MID,1
Felipe Anderson,West Ham United,Brazil,MID,9
Michail Antonio,West Ham United,England,MID,6
Mark Noble,West Ham United,England,MID,5
Robert Snodgrass,West Ham United,Scotland,MID,2
Manuel Lanzini,West Ham United,Argentina,MID,1
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,9
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,4
Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,2
Romain Saïss,Wolverhampton Wanderers,Morocco,MID,2
João Moutinho,Wolverhampton Wanderers,Portugal,MID,1
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,1
