player,club,nationality,position,minutesPlayed
Ryan Fraser,AFC Bournemouth,Scotland,MID,3171
Jefferson Lerma,AFC Bournemouth,Colombia,MID,2510
David Brooks,AFC Bournemouth,Wales,MID,2276
Dan Gosling,AFC Bournemouth,England,MID,1738
Andrew Surman,AFC Bournemouth,England,MID,1439
Junior Stanislas,AFC Bournemouth,England,MID,1025
Jordon Ibe,AFC Bournemouth,England,MID,796
Lewis Cook,AFC Bournemouth,England,MID,722
Emerson Hyndman,AFC Bournemouth,United States,MID,37
Granit Xhaka,Arsenal,Switzerland,MID,2501
Lucas Torreira,Arsenal,Uruguay,MID,2379
Matteo Guendouzi,Arsenal,France,MID,2142
Alex Iwobi,Arsenal,Nigeria,MID,1972
Mesut Özil,Arsenal,Germany,MID,1741
Henrikh Mkhitaryan,Arsenal,Armenia,MID,1644
Aaron Ramsey,Arsenal,Wales,MID,1328
Ainsley Maitland-Niles,Arsenal,England,MID,986
Mohamed Elneny,Arsenal,Egypt,MID,379
Denis Suárez,Arsenal,Spain,MID,67
Joe Willock,Arsenal,England,MID,64
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,2551
Dale Stephens,Brighton and Hove Albion,England,MID,2487
Solly March,Brighton and Hove Albion,England,MID,2474
Pascal Groß,Brighton and Hove Albion,Germany,MID,1876
Anthony Knockaert,Brighton and Hove Albion,France,MID,1833
Yves Bissouma,Brighton and Hove Albion,Mali,MID,1768
Beram Kayal,Brighton and Hove Albion,Israel,MID,937
Jack Cork,Burnley,England,MID,3313
Ashley Westwood,Burnley,England,MID,2822
Jeff Hendrick,Burnley,Ireland,MID,2070
Johann Gudmundsson,Burnley,Iceland,MID,1749
Aaron Lennon,Burnley,England,MID,1215
Robbie Brady,Burnley,Ireland,MID,715
Steven Defour,Burnley,Belgium,MID,452
Víctor Camarasa,Cardiff City,Spain,MID,2578
Aron Gunnarsson,Cardiff City,Iceland,MID,2275
Harry Arter,Cardiff City,Ireland,MID,2006
Joe Ralls,Cardiff City,England,MID,1960
Josh Murphy,Cardiff City,England,MID,1822
Bobby De Cordova-Reid,Cardiff City,England,MID,1422
Leandro Bacuna,Cardiff City,Curacao,MID,554
Kadeem Harris,Cardiff City,England,MID,366
Loïc Damour,Cardiff City,France,MID,21
Jorginho,Chelsea,Italy,MID,3165
N'Golo Kanté,Chelsea,France,MID,3095
Mateo Kovacic,Chelsea,Croatia,MID,1744
Ross Barkley,Chelsea,England,MID,1241
Ruben Loftus-Cheek,Chelsea,England,MID,983
Cesc Fàbregas,Chelsea,Spain,MID,175
Victor Moses,Chelsea,Nigeria,MID,26
Luka Milivojevic,Crystal Palace,Serbia,MID,3420
Aaron Wan-Bissaka,Crystal Palace,England,MID,3135
James McArthur,Crystal Palace,Scotland,MID,3072
Andros Townsend,Crystal Palace,England,MID,3016
Cheikhou Kouyaté,Crystal Palace,Senegal,MID,1897
Max Meyer,Crystal Palace,Germany,MID,1410
Bakary Sako,Crystal Palace,Mali,MID,26
Jason Puncheon,Crystal Palace,England,MID,11
Luke Dreher,Crystal Palace,England,MID,1
Gylfi Sigurdsson,Everton,Iceland,MID,3127
