player,club,nationality,position,shots,shotsOnTarget,shotsOnTargetPercent
Ryan Fraser,AFC Bournemouth,Scotland,MID,51,25,49
David Brooks,AFC Bournemouth,Wales,MID,41,20,49
Junior Stanislas,AFC Bournemouth,England,MID,34,10,29
Jefferson Lerma,AFC Bournemouth,Colombia,MID,31,8,26
Dan Gosling,AFC Bournemouth,England,MID,21,7,33
Jordon Ibe,AFC Bournemouth,England,MID,9,3,33
Andrew Surman,AFC Bournemouth,England,MID,9,1,11
Lewis Cook,AFC Bournemouth,England,MID,4,0,0
Henrikh Mkhitaryan,Arsenal,Armenia,MID,49,14,29
Alex Iwobi,Arsenal,Nigeria,MID,35,14,40
Aaron Ramsey,Arsenal,Wales,MID,33,13,39
Granit Xhaka,Arsenal,Switzerland,MID,29,12,41
Lucas Torreira,Arsenal,Uruguay,MID,25,6,24
Matteo Guendouzi,Arsenal,France,MID,16,4,25
Mesut Özil,Arsenal,Germany,MID,11,6,55
Mohamed Elneny,Arsenal,Egypt,MID,7,0,0
Ainsley Maitland-Niles,Arsenal,England,MID,5,3,60
Joe Willock,Arsenal,England,MID,2,0,0
Solly March,Brighton and Hove Albion,England,MID,43,9,21
Yves Bissouma,Brighton and Hove Albion,Mali,MID,31,3,10
Anthony Knockaert,Brighton and Hove Albion,France,MID,27,9,33
Pascal Groß,Brighton and Hove Albion,Germany,MID,24,9,38
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,15,2,13
Dale Stephens,Brighton and Hove Albion,England,MID,11,1,9
Beram Kayal,Brighton and Hove Albion,Israel,MID,5,2,40
Johann Gudmundsson,Burnley,Iceland,MID,33,9,27
Ashley Westwood,Burnley,England,MID,22,7,32
Jeff Hendrick,Burnley,Ireland,MID,19,6,32
Jack Cork,Burnley,England,MID,17,2,12
Robbie Brady,Burnley,Ireland,MID,12,2,17
Aaron Lennon,Burnley,England,MID,4,2,50
Josh Murphy,Cardiff City,England,MID,46,15,33
Víctor Camarasa,Cardiff City,Spain,MID,41,12,29
Bobby De Cordova-Reid,Cardiff City,England,MID,27,9,33
Harry Arter,Cardiff City,Ireland,MID,23,5,22
Joe Ralls,Cardiff City,England,MID,23,3,13
Aron Gunnarsson,Cardiff City,Iceland,MID,20,4,20
Leandro Bacuna,Cardiff City,Curacao,MID,5,1,20
Kadeem Harris,Cardiff City,England,MID,5,3,60
Loïc Damour,Cardiff City,France,MID,1,0,0
Ross Barkley,Chelsea,England,MID,41,9,22
N'Golo Kanté,Chelsea,France,MID,29,6,21
Mateo Kovacic,Chelsea,Croatia,MID,28,4,14
Ruben Loftus-Cheek,Chelsea,England,MID,28,8,29
Jorginho,Chelsea,Italy,MID,19,7,37
Cesc Fàbregas,Chelsea,Spain,MID,1,0,0
Andros Townsend,Crystal Palace,England,MID,63,19,30
Luka Milivojevic,Crystal Palace,Serbia,MID,57,25,44
Max Meyer,Crystal Palace,Germany,MID,38,8,21
James McArthur,Crystal Palace,Scotland,MID,34,8,24
Cheikhou Kouyaté,Crystal Palace,Senegal,MID,20,8,40
Aaron Wan-Bissaka,Crystal Palace,England,MID,9,1,11
Gylfi Sigurdsson,Everton,Iceland,MID,86,34,40
Bernard,Everton,Brazil,MID,23,5,22
André Gomes,Everton,Portugal,MID,21,5,24
Idrissa Gueye,Everton,Senegal,MID,19,4,21
Tom Davies,Everton,England,MID,7,2,29
Morgan Schneiderlin,Everton,France,MID,3,0,0
André Schürrle,Fulham,Germany,MID,55,18,33
Ryan Sessegnon,Fulham,England,MID,28,11,39
Ryan Babel,Fulham,Netherlands,MID,27,9,33
Tom Cairney,Fulham,Scotland,MID,24,5,21
André-Frank Zambo Anguissa,Fulham,Cameroon,MID,21,5,24
Jean Michael Seri,Fulham,Cote D'Ivoire,MID,19,6,32
Kevin McDonald,Fulham,Scotland,MID,4,0,0
Harvey Elliott,Fulham,England,MID,1,1,100
Stefan Johansen,Fulham,Norway,MID,1,0,0
Alex Pritchard,Huddersfield Town,England,MID,47,13,28
Aaron Mooy,Huddersfield Town,Australia,MID,43,14,33
Philip Billing,Huddersfield Town,Denmark,MID,42,9,21
Juninho Bacuna,Huddersfield Town,Netherlands,MID,19,8,42
Isaac Mbenza,Huddersfield Town,Belgium,MID,16,5,31
Jonathan Hogg,Huddersfield Town,England,MID,8,1,13
Jason Puncheon,Huddersfield Town,England,MID,6,0,0
Rajiv van La Parra,Huddersfield Town,Netherlands,MID,5,0,0
Danny Williams,Huddersfield Town,United States,MID,1,0,0
James Maddison,Leicester City,England,MID,83,28,34
Wilfred Ndidi,Leicester City,Nigeria,MID,55,9,16
Demarai Gray,Leicester City,England,MID,47,19,40
Harvey Barnes,Leicester City,England,MID,40,10,25
Youri Tielemans,Leicester City,Belgium,MID,31,12,39
Marc Albrighton,Leicester City,England,MID,19,7,37
Rachid Ghezzal,Leicester City,Algeria,MID,19,5,26
Daniel Amartey,Leicester City,Ghana,MID,4,1,25
Hamza Choudhury,Leicester City,England,MID,4,2,50
Vicente Iborra,Leicester City,Spain,MID,2,1,50
Nampalys Mendy,Leicester City,France,MID,2,0,0
Georginio Wijnaldum,Liverpool,Netherlands,MID,30,10,33
Naby Keita,Liverpool,Guinea,MID,27,10,37
James Milner,Liverpool,England,MID,24,8,33
Fabinho,Liverpool,Brazil,MID,17,4,24
Jordan Henderson,Liverpool,England,MID,16,1,6
Adam Lallana,Liverpool,England,MID,5,2,40
Alex Oxlade-Chamberlain,Liverpool,England,MID,1,1,100
Bernardo Silva,Manchester City,Portugal,MID,62,22,35
Riyad Mahrez,Manchester City,Algeria,MID,54,25,46
David Silva,Manchester City,Spain,MID,51,20,39
Ilkay Gündogan,Manchester City,Germany,MID,43,11,26
Kevin De Bruyne,Manchester City,Belgium,MID,31,12,39
Fernandinho,Manchester City,Brazil,MID,30,7,23
Phil Foden,Manchester City,England,MID,14,6,43
Oleksandr Zinchenko,Manchester City,Ukraine,MID,7,1,14
Paul Pogba,Manchester United,France,MID,105,50,48
Jesse Lingard,Manchester United,England,MID,32,14,44
Ander Herrera,Manchester United,Spain,MID,21,8,38
Juan Mata,Manchester United,Spain,MID,19,6,32
Fred,Manchester United,Brazil,MID,17,2,12
Scott McTominay,Manchester United,Scotland,MID,15,6,40
Nemanja Matic,Manchester United,Serbia,MID,12,3,25
Andreas Pereira,Manchester United,Brazil,MID,8,2,25
Marouane Fellaini,Manchester United,Belgium,MID,7,3,43
Tahith Chong,Manchester United,Netherlands,MID,2,1,50
Angel Gomes,Manchester United,England,MID,2,1,50
Matt Ritchie,Newcastle United,Scotland,MID,41,10,24
Kenedy,Newcastle United,Brazil,MID,31,6,19
Christian Atsu,Newcastle United,Ghana,MID,28,14,50
Jonjo Shelvey,Newcastle United,England,MID,23,8,35
Isaac Hayden,Newcastle United,England,MID,22,5,23
Mohamed Diamé,Newcastle United,Senegal,MID,20,3,15
Miguel Almirón,Newcastle United,Paraguay,MID,19,8,42
Ki Sung-yueng,Newcastle United,South Korea,MID,9,2,22
Sean Longstaff,Newcastle United,England,MID,8,2,25
Jacob Murphy,Newcastle United,England,MID,2,1,50
Nathan Redmond,Southampton,England,MID,74,22,30
Pierre-Emile Højbjerg,Southampton,Denmark,MID,53,19,36
Stuart Armstrong,Southampton,Scotland,MID,32,12,38
James Ward-Prowse,Southampton,England,MID,31,16,52
Mario Lemina,Southampton,Gabon,MID,25,5,20
Mohamed Elyounoussi,Southampton,Norway,MID,20,6,30
Oriol Romeu,Southampton,Spain,MID,10,4,40
Josh Sims,Southampton,England,MID,5,1,20
Callum Slattery,Southampton,England,MID,1,0,0
Christian Eriksen,Tottenham Hotspur,Denmark,MID,83,30,36
Lucas Moura,Tottenham Hotspur,Brazil,MID,45,20,44
Dele Alli,Tottenham Hotspur,England,MID,39,19,49
Erik Lamela,Tottenham Hotspur,Argentina,MID,29,11,38
Moussa Sissoko,Tottenham Hotspur,France,MID,15,3,20
Eric Dier,Tottenham Hotspur,England,MID,9,3,33
Harry Winks,Tottenham Hotspur,England,MID,9,2,22
Victor Wanyama,Tottenham Hotspur,Kenya,MID,7,2,29
Oliver Skipp,Tottenham Hotspur,England,MID,2,0,0
Mousa Dembélé,Tottenham Hotspur,Belgium,MID,1,0,0
Roberto Pereyra,Watford,Argentina,MID,57,21,37
Abdoulaye Doucouré,Watford,France,MID,52,17,33
Will Hughes,Watford,England,MID,31,7,23
Etienne Capoue,Watford,France,MID,18,4,22
Ken Sema,Watford,Sweden,MID,12,4,33
Domingos Quina,Watford,Portugal,MID,5,1,20
Tom Cleverley,Watford,England,MID,4,2,50
Nathaniel Chalobah,Watford,England,MID,2,1,50
Michail Antonio,West Ham United,England,MID,65,25,38
Felipe Anderson,West Ham United,Brazil,MID,58,25,43
Robert Snodgrass,West Ham United,Scotland,MID,30,7,23
Declan Rice,West Ham United,England,MID,22,5,23
Mark Noble,West Ham United,England,MID,17,8,47
Pedro Obiang,West Ham United,Equatorial Guinea,MID,15,1,7
Manuel Lanzini,West Ham United,Argentina,MID,11,4,36
Grady Diangana,West Ham United,England,MID,10,3,30
Samir Nasri,West Ham United,France,MID,3,0,0
