player,club,nationality,position,throughBalls
David Brooks,AFC Bournemouth,Wales,MID,16
Ryan Fraser,AFC Bournemouth,Scotland,MID,6
Junior Stanislas,AFC Bournemouth,England,MID,4
Dan Gosling,AFC Bournemouth,England,MID,3
Jefferson Lerma,AFC Bournemouth,Colombia,MID,3
Jordon Ibe,AFC Bournemouth,England,MID,2
Andrew Surman,AFC Bournemouth,England,MID,2
Lewis Cook,AFC Bournemouth,England,MID,1
Matteo Guendouzi,Arsenal,France,MID,9
Mesut Özil,Arsenal,Germany,MID,7
Henrikh Mkhitaryan,Arsenal,Armenia,MID,5
Aaron Ramsey,Arsenal,Wales,MID,5
Granit Xhaka,Arsenal,Switzerland,MID,5
Alex Iwobi,Arsenal,Nigeria,MID,3
Mohamed Elneny,Arsenal,Egypt,MID,2
Lucas Torreira,Arsenal,Uruguay,MID,2
Yves Bissouma,Brighton and Hove Albion,Mali,MID,3
Pascal Groß,Brighton and Hove Albion,Germany,MID,2
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,2
Beram Kayal,Brighton and Hove Albion,Israel,MID,1
Anthony Knockaert,Brighton and Hove Albion,France,MID,1
Solly March,Brighton and Hove Albion,England,MID,1
Dale Stephens,Brighton and Hove Albion,England,MID,1
Ashley Westwood,Burnley,England,MID,5
Jeff Hendrick,Burnley,Ireland,MID,4
Jack Cork,Burnley,England,MID,3
Johann Gudmundsson,Burnley,Iceland,MID,1
Robbie Brady,Burnley,Ireland,MID,1
Steven Defour,Burnley,Belgium,MID,1
Aaron Lennon,Burnley,England,MID,1
Víctor Camarasa,Cardiff City,Spain,MID,13
Aron Gunnarsson,Cardiff City,Iceland,MID,4
Josh Murphy,Cardiff City,England,MID,4
Harry Arter,Cardiff City,Ireland,MID,3
Bobby De Cordova-Reid,Cardiff City,England,MID,2
Leandro Bacuna,Cardiff City,Curacao,MID,1
Joe Ralls,Cardiff City,England,MID,1
Jorginho,Chelsea,Italy,MID,34
Mateo Kovacic,Chelsea,Croatia,MID,8
Ross Barkley,Chelsea,England,MID,4
Cesc Fàbregas,Chelsea,Spain,MID,4
N'Golo Kanté,Chelsea,France,MID,4
Ruben Loftus-Cheek,Chelsea,England,MID,2
James McArthur,Crystal Palace,Scotland,MID,4
Luka Milivojevic,Crystal Palace,Serbia,MID,2
Cheikhou Kouyaté,Crystal Palace,Senegal,MID,1
Andros Townsend,Crystal Palace,England,MID,1
Aaron Wan-Bissaka,Crystal Palace,England,MID,1
Gylfi Sigurdsson,Everton,Iceland,MID,19
Bernard,Everton,Brazil,MID,7
Idrissa Gueye,Everton,Senegal,MID,4
Morgan Schneiderlin,Everton,France,MID,2
Tom Davies,Everton,England,MID,1
André Gomes,Everton,Portugal,MID,1
Tom Cairney,Fulham,Scotland,MID,7
Ryan Sessegnon,Fulham,England,MID,5
Ryan Babel,Fulham,Netherlands,MID,3
Kevin McDonald,Fulham,Scotland,MID,2
André Schürrle,Fulham,Germany,MID,2
Jean Michael Seri,Fulham,Cote D'Ivoire,MID,2
Juninho Bacuna,Huddersfield Town,Netherlands,MID,6
Jonathan Hogg,Huddersfield Town,England,MID,6
Aaron Mooy,Huddersfield Town,Australia,MID,2
Isaac Mbenza,Huddersfield Town,Belgium,MID,1
Alex Pritchard,Huddersfield Town,England,MID,1
Jason Puncheon,Huddersfield Town,England,MID,1
Ramadan Sobhi,Huddersfield Town,Egypt,MID,1
Rajiv van La Parra,Huddersfield Town,Netherlands,MID,1
James Maddison,Leicester City,England,MID,22
Youri Tielemans,Leicester City,Belgium,MID,11
Marc Albrighton,Leicester City,England,MID,9
Demarai Gray,Leicester City,England,MID,8
Rachid Ghezzal,Leicester City,Algeria,MID,6
Wilfred Ndidi,Leicester City,Nigeria,MID,6
Harvey Barnes,Leicester City,England,MID,2
Vicente Iborra,Leicester City,Spain,MID,2
Nampalys Mendy,Leicester City,France,MID,2
Jordan Henderson,Liverpool,England,MID,7
Naby Keita,Liverpool,Guinea,MID,7
James Milner,Liverpool,England,MID,6
Georginio Wijnaldum,Liverpool,Netherlands,MID,5
Fabinho,Liverpool,Brazil,MID,2
Adam Lallana,Liverpool,England,MID,1
David Silva,Manchester City,Spain,MID,18
Ilkay Gündogan,Manchester City,Germany,MID,17
Fernandinho,Manchester City,Brazil,MID,13
Riyad Mahrez,Manchester City,Algeria,MID,11
Kevin De Bruyne,Manchester City,Belgium,MID,10
Bernardo Silva,Manchester City,Portugal,MID,10
Phil Foden,Manchester City,England,MID,3
Oleksandr Zinchenko,Manchester City,Ukraine,MID,2
Paul Pogba,Manchester United,France,MID,15
Juan Mata,Manchester United,Spain,MID,6
Ander Herrera,Manchester United,Spain,MID,3
Jesse Lingard,Manchester United,England,MID,3
Nemanja Matic,Manchester United,Serbia,MID,3
Fred,Manchester United,Brazil,MID,3
Andreas Pereira,Manchester United,Brazil,MID,1
Scott McTominay,Manchester United,Scotland,MID,1
Mohamed Diamé,Newcastle United,Senegal,MID,5
Isaac Hayden,Newcastle United,England,MID,5
Matt Ritchie,Newcastle United,Scotland,MID,5
