player,club,nationality,position,appearances
Joshua King,AFC Bournemouth,Norway,FWD,35
Callum Wilson,AFC Bournemouth,England,FWD,30
Lys Mousset,AFC Bournemouth,France,FWD,24
Dominic Solanke,AFC Bournemouth,England,FWD,10
Jermain Defoe,AFC Bournemouth,England,FWD,4
Sam Surridge,AFC Bournemouth,England,FWD,2
Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,36
Alexandre Lacazette,Arsenal,France,FWD,35
Danny Welbeck,Arsenal,England,FWD,8
Eddie Nketiah,Arsenal,England,FWD,5
Bukayo Saka,Arsenal,England,FWD,1
Glenn Murray,Brighton and Hove Albion,England,FWD,38
Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,26
Florin Andone,Brighton and Hove Albion,Romania,FWD,23
Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,19
José Izquierdo,Brighton and Hove Albion,Colombia,FWD,15
Chris Wood,Burnley,New Zealand,FWD,38
Ashley Barnes,Burnley,Austria,FWD,37
Dwight McNeil,Burnley,England,FWD,21
Sam Vokes,Burnley,Wales,FWD,20
Matej Vydra,Burnley,Czech Republic,FWD,13
Peter Crouch,Burnley,England,FWD,6
David Junior Hoilett,Cardiff City,Canada,FWD,32
Nathaniel Mendez-Laing,Cardiff City,England,FWD,20
Kenneth Zohore,Cardiff City,Denmark,FWD,19
Danny Ward,Cardiff City,England,FWD,14
Oumar Niasse,Cardiff City,Senegal,FWD,13
Gary Madine,Cardiff City,England,FWD,5
Rhys Healey,Cardiff City,England,FWD,3
Eden Hazard,Chelsea,Belgium,FWD,37
Willian,Chelsea,Brazil,FWD,32
Pedro,Chelsea,Spain,FWD,31
Olivier Giroud,Chelsea,France,FWD,27
Álvaro Morata,Chelsea,Spain,FWD,16
Gonzalo Higuaín,Chelsea,Argentina,FWD,14
Callum Hudson-Odoi,Chelsea,England,FWD,10
Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,34
Jordan Ayew,Crystal Palace,Ghana,FWD,20
Christian Benteke,Crystal Palace,Belgium,FWD,16
Alexander Sørloth,Crystal Palace,Norway,FWD,12
Michy Batshuayi,Crystal Palace,Belgium,FWD,11
Connor Wickham,Crystal Palace,England,FWD,6
Theo Walcott,Everton,England,FWD,37
Dominic Calvert-Lewin,Everton,England,FWD,35
Richarlison,Everton,Brazil,FWD,35
Cenk Tosun,Everton,Turkey,FWD,25
Ademola Lookman,Everton,England,FWD,21
Oumar Niasse,Everton,Senegal,FWD,5
Aleksandar Mitrovic,Fulham,Serbia,FWD,37
Luciano Vietto,Fulham,Argentina,FWD,20
Floyd Ayité,Fulham,Togo,FWD,16
Aboubakar Kamara,Fulham,France,FWD,13
Steve Mounie,Huddersfield Town,Benin,FWD,31
Laurent Depoitre,Huddersfield Town,Belgium,FWD,23
Elias Kachunga,Huddersfield Town,The Democratic Republic Of Congo,FWD,20
Karlan Grant,Huddersfield Town,England,FWD,13
Adama Diakhaby,Huddersfield Town,France,FWD,12
Collin Quaner,Huddersfield Town,Germany,FWD,2
Jamie Vardy,Leicester City,England,FWD,34
Kelechi Iheanacho,Leicester City,Nigeria,FWD,30
Shinji Okazaki,Leicester City,Japan,FWD,21
Mohamed Salah,Liverpool,Egypt,FWD,38
Sadio Mané,Liverpool,Senegal,FWD,36
Roberto Firmino,Liverpool,Brazil,FWD,34
Xherdan Shaqiri,Liverpool,Switzerland,FWD,24
Daniel Sturridge,Liverpool,England,FWD,18
Divock Origi,Liverpool,Belgium,FWD,12
Raheem Sterling,Manchester City,England,FWD,34
Sergio Agüero,Manchester City,Argentina,FWD,33
Leroy Sané,Manchester City,Germany,FWD,31
Gabriel Jesus,Manchester City,Brazil,FWD,29
Marcus Rashford,Manchester United,England,FWD,33
Romelu Lukaku,Manchester United,Belgium,FWD,32
Anthony Martial,Manchester United,France,FWD,27
Alexis Sánchez,Manchester United,Chile,FWD,20
Mason Greenwood,Manchester United,England,FWD,3
Ayoze Pérez,Newcastle United,Spain,FWD,37
Salomón Rondón,Newcastle United,Venezuela,FWD,32
Yoshinori Muto,Newcastle United,Japan,FWD,17
Joselu,Newcastle United,Spain,FWD,16
Shane Long,Southampton,Ireland,FWD,26
Charlie Austin,Southampton,England,FWD,25
Danny Ings,Southampton,England,FWD,24
Manolo Gabbiadini,Southampton,Italy,FWD,12
Michael Obafemi,Southampton,Ireland,FWD,6
Sam Gallagher,Southampton,England,FWD,4
Son Heung-Min,Tottenham Hotspur,South Korea,FWD,31
Harry Kane,Tottenham Hotspur,England,FWD,28
Fernando Llorente,Tottenham Hotspur,Spain,FWD,20
Vincent Janssen,Tottenham Hotspur,Netherlands,FWD,3
Troy Deeney,Watford,England,FWD,32
Gerard Deulofeu,Watford,Spain,FWD,30
Isaac Success,Watford,Nigeria,FWD,30
Andre Gray,Watford,England,FWD,29
Stefano Okaka,Watford,Italy,FWD,2
Marko Arnautovic,West Ham United,Austria,FWD,28
Chicharito,West Ham United,Mexico,FWD,25
Lucas Pérez,West Ham United,Spain,FWD,15
Andy Carroll,West Ham United,England,FWD,12
Andriy Yarmolenko,West Ham United,Ukraine,FWD,9
Xande Silva,West Ham United,Portugal,FWD,1
Raúl Jiménez,Wolverhampton Wanderers,Mexico,FWD,38
Adama Traoré,Wolverhampton Wanderers,Spain,FWD,29
Ivan Cavaleiro,Wolverhampton Wanderers,Portugal,FWD,23
Léo Bonatini,Wolverhampton Wanderers,Brazil,FWD,7
Ryan Fraser,AFC Bournemouth,Scotland,MID,38
David Brooks,AFC Bournemouth,Wales,MID,30
Jefferson Lerma,AFC Bournemouth,Colombia,MID,30
Dan Gosling,AFC Bournemouth,England,MID,25
Junior Stanislas,AFC Bournemouth,England,MID,23
Jordon Ibe,AFC Bournemouth,England,MID,19
Andrew Surman,AFC Bournemouth,England,MID,18
Lewis Cook,AFC Bournemouth,England,MID,13
Emerson Hyndman,AFC Bournemouth,United States,MID,1
Alex Iwobi,Arsenal,Nigeria,MID,35
Lucas Torreira,Arsenal,Uruguay,MID,34
Matteo Guendouzi,Arsenal,France,MID,33
Granit Xhaka,Arsenal,Switzerland,MID,29
Aaron Ramsey,Arsenal,Wales,MID,28
Henrikh Mkhitaryan,Arsenal,Armenia,MID,25
Mesut Özil,Arsenal,Germany,MID,24
Ainsley Maitland-Niles,Arsenal,England,MID,16
Mohamed Elneny,Arsenal,Egypt,MID,8
Denis Suárez,Arsenal,Spain,MID,4
Joe Willock,Arsenal,England,MID,2
Solly March,Brighton and Hove Albion,England,MID,35
Anthony Knockaert,Brighton and Hove Albion,France,MID,30
Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,30
Dale Stephens,Brighton and Hove Albion,England,MID,30
Yves Bissouma,Brighton and Hove Albion,Mali,MID,28
Pascal Groß,Brighton and Hove Albion,Germany,MID,25
Beram Kayal,Brighton and Hove Albion,Israel,MID,18
Jack Cork,Burnley,England,MID,37
Ashley Westwood,Burnley,England,MID,34
Jeff Hendrick,Burnley,Ireland,MID,32
Johann Gudmundsson,Burnley,Iceland,MID,29
Robbie Brady,Burnley,Ireland,MID,16
Aaron Lennon,Burnley,England,MID,16
Steven Defour,Burnley,Belgium,MID,6
Víctor Camarasa,Cardiff City,Spain,MID,32
Josh Murphy,Cardiff City,England,MID,29
Aron Gunnarsson,Cardiff City,Iceland,MID,28
Joe Ralls,Cardiff City,England,MID,28
Bobby De Cordova-Reid,Cardiff City,England,MID,27
Harry Arter,Cardiff City,Ireland,MID,25
Kadeem Harris,Cardiff City,England,MID,13
Leandro Bacuna,Cardiff City,Curacao,MID,11
Loïc Damour,Cardiff City,France,MID,2
Jorginho,Chelsea,Italy,MID,37
N'Golo Kanté,Chelsea,France,MID,36
Mateo Kovacic,Chelsea,Croatia,MID,32
Ross Barkley,Chelsea,England,MID,27
Ruben Loftus-Cheek,Chelsea,England,MID,24
Cesc Fàbregas,Chelsea,Spain,MID,6
Victor Moses,Chelsea,Nigeria,MID,2
James McArthur,Crystal Palace,Scotland,MID,38
Luka Milivojevic,Crystal Palace,Serbia,MID,38
Andros Townsend,Crystal Palace,England,MID,38
Aaron Wan-Bissaka,Crystal Palace,England,MID,35
Cheikhou Kouyaté,Crystal Palace,Senegal,MID,31
Max Meyer,Crystal Palace,Germany,MID,29
Jason Puncheon,Crystal Palace,England,MID,5
Bakary Sako,Crystal Palace,Mali,MID,4
Luke Dreher,Crystal Palace,England,MID,1
Gylfi Sigurdsson,Everton,Iceland,MID,38
Bernard,Everton,Brazil,MID,34
Idrissa Gueye,Everton,Senegal,MID,33
André Gomes,Everton,Portugal,MID,27
Tom Davies,Everton,England,MID,16
Morgan Schneiderlin,Everton,France,MID,14
James McCarthy,Everton,Ireland,MID,1
Ryan Sessegnon,Fulham,England,MID,35
Jean Michael Seri,Fulham,Cote D'Ivoire,MID,32
Tom Cairney,Fulham,Scotland,MID,31
André Schürrle,Fulham,Germany,MID,24
André-Frank Zambo Anguissa,Fulham,Cameroon,MID,22
Ryan Babel,Fulham,Netherlands,MID,16
Kevin McDonald,Fulham,Scotland,MID,15
Stefan Johansen,Fulham,Norway,MID,12
Ibrahima Cissé,Fulham,Guinea,MID,3
Harvey Elliott,Fulham,England,MID,2
Lazar Markovic,Fulham,Serbia,MID,1
Alex Pritchard,Huddersfield Town,England,MID,30
Jonathan Hogg,Huddersfield Town,England,MID,29
Aaron Mooy,Huddersfield Town,Australia,MID,29
Philip Billing,Huddersfield Town,Denmark,MID,27
Isaac Mbenza,Huddersfield Town,Belgium,MID,22
Juninho Bacuna,Huddersfield Town,Netherlands,MID,21
Jason Puncheon,Huddersfield Town,England,MID,6
Rajiv van La Parra,Huddersfield Town,Netherlands,MID,5
Danny Williams,Huddersfield Town,United States,MID,5
Ramadan Sobhi,Huddersfield Town,Egypt,MID,4
Matty Daly,Huddersfield Town,England,MID,2
Aaron Rowe,Huddersfield Town,England,MID,2
Abdelhamid Sabiri,Huddersfield Town,Germany,MID,2
Wilfred Ndidi,Leicester City,Nigeria,MID,38
James Maddison,Leicester City,England,MID,36
Demarai Gray,Leicester City,England,MID,34
Nampalys Mendy,Leicester City,France,MID,31
Marc Albrighton,Leicester City,England,MID,27
Rachid Ghezzal,Leicester City,Algeria,MID,19
Harvey Barnes,Leicester City,England,MID,16
Youri Tielemans,Leicester City,Belgium,MID,13
Daniel Amartey,Leicester City,Ghana,MID,9
Hamza Choudhury,Leicester City,England,MID,9
Vicente Iborra,Leicester City,Spain,MID,8
Adrien Silva,Leicester City,Portugal,MID,2
Fousseni Diabaté,Leicester City,Mali,MID,1
Georginio Wijnaldum,Liverpool,Netherlands,MID,35
Jordan Henderson,Liverpool,England,MID,32
