rank,player,club,nationality,position,minutesPlayed
1,Joshua King,AFC Bournemouth,Norway,FWD,"2,970"
2,Callum Wilson,AFC Bournemouth,England,FWD,"2,534"
3,Lys Mousset,AFC Bournemouth,France,FWD,350
4,Dominic Solanke,AFC Bournemouth,England,FWD,340
5,Jermain Defoe,AFC Bournemouth,England,FWD,22
6,Sam Surridge,AFC Bournemouth,England,FWD,11
1,Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,"2,731"
2,Alexandre Lacazette,Arsenal,France,FWD,"2,505"
3,Danny Welbeck,Arsenal,England,FWD,147
4,Eddie Nketiah,Arsenal,England,FWD,63
5,Bukayo Saka,Arsenal,England,FWD,7
1,Glenn Murray,Brighton and Hove Albion,England,FWD,"2,512"
2,Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,"1,229"
3,Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,"1,019"
4,Florin Andone,Brighton and Hove Albion,Romania,FWD,873
5,José Izquierdo,Brighton and Hove Albion,Colombia,FWD,794
1,Chris Wood,Burnley,New Zealand,FWD,"2,594"
2,Ashley Barnes,Burnley,Austria,FWD,"2,386"
3,Dwight McNeil,Burnley,England,FWD,"1,597"
4,Sam Vokes,Burnley,Wales,FWD,914
5,Matej Vydra,Burnley,Czech Republic,FWD,313
6,Peter Crouch,Burnley,England,FWD,86
1,David Junior Hoilett,Cardiff City,Canada,FWD,"2,142"
2,Nathaniel Mendez-Laing,Cardiff City,England,FWD,986
3,Oumar Niasse,Cardiff City,Senegal,FWD,940
4,Kenneth Zohore,Cardiff City,Denmark,FWD,746
5,Danny Ward,Cardiff City,England,FWD,440
6,Rhys Healey,Cardiff City,England,FWD,49
7,Gary Madine,Cardiff City,England,FWD,32
1,Eden Hazard,Chelsea,Belgium,FWD,"2,925"
2,Willian,Chelsea,Brazil,FWD,"2,108"
3,Pedro,Chelsea,Spain,FWD,"1,780"
4,Gonzalo Higuaín,Chelsea,Argentina,FWD,"1,092"
5,Álvaro Morata,Chelsea,Spain,FWD,943
6,Olivier Giroud,Chelsea,France,FWD,833
7,Callum Hudson-Odoi,Chelsea,England,FWD,391
1,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,"3,040"
2,Jordan Ayew,Crystal Palace,Ghana,FWD,"1,187"
3,Christian Benteke,Crystal Palace,Belgium,FWD,813
4,Michy Batshuayi,Crystal Palace,Belgium,FWD,756
5,Alexander Sørloth,Crystal Palace,Norway,FWD,173
6,Connor Wickham,Crystal Palace,England,FWD,61
1,Richarlison,Everton,Brazil,FWD,"2,678"
2,Theo Walcott,Everton,England,FWD,"2,122"
3,Dominic Calvert-Lewin,Everton,England,FWD,"1,775"
4,Cenk Tosun,Everton,Turkey,FWD,"1,050"
5,Ademola Lookman,Everton,England,FWD,601
6,Oumar Niasse,Everton,Senegal,FWD,58
1,Aleksandar Mitrovic,Fulham,Serbia,FWD,"3,281"
2,Luciano Vietto,Fulham,Argentina,FWD,985
3,Aboubakar Kamara,Fulham,France,FWD,690
4,Floyd Ayité,Fulham,Togo,FWD,468
1,Steve Mounie,Huddersfield Town,Benin,FWD,"1,776"
2,Elias Kachunga,Huddersfield Town,The Democratic Republic Of Congo,FWD,"1,181"
3,Laurent Depoitre,Huddersfield Town,Belgium,FWD,"1,062"
4,Karlan Grant,Huddersfield Town,England,FWD,874
5,Adama Diakhaby,Huddersfield Town,France,FWD,553
6,Collin Quaner,Huddersfield Town,Germany,FWD,37
1,Jamie Vardy,Leicester City,England,FWD,"2,728"
2,Kelechi Iheanacho,Leicester City,Nigeria,FWD,930
3,Shinji Okazaki,Leicester City,Japan,FWD,270
1,Mohamed Salah,Liverpool,Egypt,FWD,"3,256"
2,Sadio Mané,Liverpool,Senegal,FWD,"3,085"
3,Roberto Firmino,Liverpool,Brazil,FWD,"2,617"
4,Xherdan Shaqiri,Liverpool,Switzerland,FWD,"1,058"
5,Daniel Sturridge,Liverpool,England,FWD,499
6,Divock Origi,Liverpool,Belgium,FWD,367
5,Raheem Sterling,Manchester City,England,FWD,"2,776"
6,Sergio Agüero,Manchester City,Argentina,FWD,"2,479"
10,Leroy Sané,Manchester City,Germany,FWD,"1,867"
16,Gabriel Jesus,Manchester City,Brazil,FWD,"1,021"
1,Marcus Rashford,Manchester United,England,FWD,"2,342"
2,Romelu Lukaku,Manchester United,Belgium,FWD,"2,130"
3,Anthony Martial,Manchester United,France,FWD,"1,624"
4,Alexis Sánchez,Manchester United,Chile,FWD,877
5,Mason Greenwood,Manchester United,England,FWD,115
1,Ayoze Pérez,Newcastle United,Spain,FWD,"2,927"
2,Salomón Rondón,Newcastle United,Venezuela,FWD,"2,608"
3,Joselu,Newcastle United,Spain,FWD,587
