Player,Team,Draft Rank,Position,Points
Aubameyang,Arsenal,6,FWD,205
Agüero,Man City,4,FWD,201
Jiménez,Wolves,195,FWD,181
Vardy,Leicester,18,FWD,174
Wilson,Bournemouth,90,FWD,168
Lacazette,Arsenal,16,FWD,166
Kane,Spurs,2,FWD,160
Firmino,Liverpool,13,FWD,160
Rondón,Newcastle,122,FWD,148
Zaha,Crystal Palace,35,FWD,143
Pérez,Newcastle,55,FWD,141
King,Bournemouth,57,FWD,141
Mitrovic,Fulham,73,FWD,134
Wood,Burnley,59,FWD,131
Murray,Brighton,56,FWD,129
Rashford,Man Utd,38,FWD,128
Barnes,Burnley,94,FWD,122
Arnautovic,West Ham,34,FWD,117
Deeney,Watford,101,FWD,116
Lukaku,Man Utd,5,FWD,115
Calvert-Lewin,Everton,148,FWD,92
Ings,Southampton,182,FWD,90
Chicharito,West Ham,62,FWD,86
Gray,Watford,97,FWD,83
Reid,Cardiff,190,FWD,80
Jesus,Man City,9,FWD,79
Mounie,Huddersfield,95,FWD,69
Long,Southampton,269,FWD,66
Iheanacho,Leicester,105,FWD,58
Tosun,Everton,40,FWD,56
Giroud,Chelsea,25,FWD,55
Higuaín,Chelsea,11,FWD,53
Locadia,Brighton,183,FWD,52
Batshuayi,Crystal Palace,47,FWD,48
Vokes,Burnley,168,FWD,48
Vietto,Fulham,202,FWD,47
Morata,Chelsea,20,FWD,46
Austin,Southampton,102,FWD,46
Ayew,Crystal Palace,126,FWD,46
Grant,Huddersfield,215,FWD,45
Success,Watford,561,FWD,42
Llorente,Spurs,109,FWD,41
Andone,Brighton,342,FWD,38
Sturridge,Liverpool,119,FWD,34
Depoitre,Huddersfield,145,FWD,34
Benteke,Crystal Palace,64,FWD,33
Lucas,West Ham,75,FWD,33
Zohore,Cardiff,347,FWD,33
Origi,Liverpool,209,FWD,32
Niasse,Cardiff,153,FWD,30
Joselu,Newcastle,257,FWD,30
Kachunga,Huddersfield,279,FWD,29
Mousset,Bournemouth,284,FWD,28
Kamara,Fulham,516,FWD,28
Okazaki,Leicester,161,FWD,25
Muto,Newcastle,120,FWD,24
Gabbiadini,Southampton,103,FWD,23
Vydra,Burnley,123,FWD,21
Welbeck,Arsenal,66,FWD,19
Solanke,Bournemouth,283,FWD,15
Obafemi,Southampton,211,FWD,13
Carroll,West Ham,177,FWD,12
Sørloth,Crystal Palace,300,FWD,12
Nketiah,Arsenal,212,FWD,10
Bonatini,Wolves,354,FWD,10
Wickham,Crystal Palace,357,FWD,9
Crouch,Burnley,328,FWD,8
Madine,Cardiff,507,FWD,5
Defoe,Bournemouth,104,FWD,4
