club,wins,draws,losses,goals,goalsConceded,cleanSheets,goalsPerMatch,shots,shotsOnTarget,shootingAccuracyPercent,penaltiesScored,bigChancesCreated,hitWoodwork,passes,passesPerMatch,passAccuracyPercent,crosses,crossAccuracy%,goalsConcededPerMatch,saves,tackles,tackleSuccessPercent,blockedShots,interceptions,clearances,headedClearances,aerialBattlesWon,errorsLeadingToGoals,ownGoals,yellowCards,redCards,fouls,offsides
AFC Bournemouth,13,6,19,56,70,10,1.47,446,163,37,7,77,12,15943,419.55,78,613,27,1.84,110,526,57,108,371,1019,515,2676,11,3,60,1,170,57
Arsenal,21,7,10,73,51,8,1.92,467,170,36,4,72,9,20805,547.5,83,605,21,1.34,133,609,60,128,412,762,404,2489,13,2,72,2,227,89
Brighton and Hove Albion,9,9,20,35,60,7,0.92,371,108,29,5,34,6,14109,371.29,75,636,29,1.58,111,681,58,89,463,921,499,2914,5,0,60,4,235,90
Burnley,11,7,20,45,68,8,1.18,360,116,32,2,49,12,13011,342.39,70,693,24,1.79,140,583,54,89,365,1080,539,3209,5,4,75,1,172,106
Cardiff City,10,4,24,34,69,10,0.89,417,126,30,3,33,14,10226,269.11,64,562,26,1.82,141,655,57,112,528,978,448,3252,8,0,66,1,196,77
Chelsea,21,9,8,63,39,16,1.66,607,198,33,5,81,21,25070,659.74,88,692,19,1.03,85,618,59,199,351,593,330,2548,3,0,49,0,169,83
Crystal Palace,14,7,17,51,53,12,1.34,493,148,30,10,40,16,15243,401.13,77,577,24,1.39,113,730,61,139,446,940,467,2868,5,1,58,2,224,78
Everton,15,9,14,54,46,14,1.42,498,169,34,2,52,16,16494,434.05,77,814,25,1.21,94,700,63,140,456,825,430,3211,7,2,55,4,250,69
Fulham,7,5,26,34,81,5,0.89,454,146,32,2,48,13,17699,465.76,80,611,23,2.13,147,591,61,116,433,971,443,2781,12,2,68,2,209,90
Huddersfield Town,3,7,28,22,76,5,0.58,400,118,30,1,27,11,15902,418.47,76,769,22,2,114,710,60,114,530,658,246,3018,11,1,55,4,232,63
Leicester City,15,7,16,51,48,10,1.34,515,184,36,5,59,10,17219,453.13,79,779,21,1.26,90,676,58,133,436,945,500,3074,4,0,57,5,210,72
Liverpool,30,7,1,89,22,21,2.28,575,226,39,7,78,19,23638,606.1,84,721,24,0.56,76,610,61,141,314,639,317,2518,4,0,38,2,185,77
Manchester City,32,2,4,95,23,20,2.5,683,260,38,3,101,21,26581,699.5,89,783,20,0.61,58,518,63,194,362,543,295,2344,2,0,44,1,193,98
Manchester United,19,9,10,65,54,7,1.67,526,225,43,9,65,9,19202,492.36,82,638,20,1.38,122,581,60,130,355,785,370,2683,8,3,73,4,221,90
Newcastle United,12,9,17,42,48,11,1.11,446,142,32,1,39,14,13490,355,73,711,24,1.26,95,714,61,118,506,1120,564,2875,5,1,57,2,266,59
Southampton,9,12,17,45,65,7,1.18,483,162,34,4,48,13,14297,376.24,74,664,24,1.71,114,699,61,138,548,1068,502,2863,10,3,71,3,217,61
Tottenham Hotspur,23,2,13,67,39,13,1.76,537,189,35,4,64,13,21295,560.39,83,643,26,1.03,121,626,60,142,326,770,411,2566,6,3,56,3,225,74
Watford,14,8,16,52,59,7,1.37,437,152,35,1,63,9,15462,406.89,76,570,18,1.55,127,655,60,128,426,956,447,2855,7,3,77,4,231,89
West Ham United,15,7,16,52,55,7,1.37,441,157,36,5,48,13,16358,430.47,79,630,24,1.45,148,723,54,114,457,855,397,2780,5,2,59,1,182,72
Wolverhampton Wanderers,16,9,13,47,46,9,1.24,477,152,32,4,65,14,16618,437.32,78,622,25,1.21,100,720,57,118,501,824,464,2998,3,4,72,1,223,73
