,AFC Bournemouth,Arsenal,Brighton and Hove Albion,Burnley,Cardiff City,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield Town,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Southampton,Tottenham Hotspur,Watford,West Ham United,Wolverhampton Wanderers
wins,13,21,9,11,10,21,14,15,7,3,15,30,32,19,12,9,23,14,15,16
draws,6,7,9,7,4,9,7,9,5,7,7,7,2,9,9,12,2,8,7,9
losses,19,10,20,20,24,8,17,14,26,28,16,1,4,10,17,17,13,16,16,13
goals,56,73,35,45,34,63,51,54,34,22,51,89,95,65,42,45,67,52,52,47
goalsConceded,70,51,60,68,69,39,53,46,81,76,48,22,23,54,48,65,39,59,55,46
cleanSheets,10,8,7,8,10,16,12,14,5,5,10,21,20,7,11,7,13,7,7,9
goalsPerMatch,1.47,1.92,0.92,1.18,0.89,1.66,1.34,1.42,0.89,0.58,1.34,2.28,2.5,1.67,1.11,1.18,1.76,1.37,1.37,1.24
shots,446,467,371,360,417,607,493,498,454,400,515,575,683,526,446,483,537,437,441,477
shotsOnTarget,163,170,108,116,126,198,148,169,146,118,184,226,260,225,142,162,189,152,157,152
shootingAccuracyPercent,37,36,29,32,30,33,30,34,32,30,36,39,38,43,32,34,35,35,36,32
penaltiesScored,7,4,5,2,3,5,10,2,2,1,5,7,3,9,1,4,4,1,5,4
bigChancesCreated,77,72,34,49,33,81,40,52,48,27,59,78,101,65,39,48,64,63,48,65
hitWoodwork,12,9,6,12,14,21,16,16,13,11,10,19,21,9,14,13,13,9,13,14
passes,15943,20805,14109,13011,10226,25070,15243,16494,17699,15902,17219,23638,26581,19202,13490,14297,21295,15462,16358,16618
passesPerMatch,419.55,547.5,371.29,342.39,269.11,659.74,401.13,434.05,465.76,418.47,453.13,606.1,699.5,492.36,355,376.24,560.39,406.89,430.47,437.32
passAccuracyPercent,78,83,75,70,64,88,77,77,80,76,79,84,89,82,73,74,83,76,79,78
crosses,613,605,636,693,562,692,577,814,611,769,779,721,783,638,711,664,643,570,630,622
crossAccuracyPercent,27,21,29,24,26,19,24,25,23,22,21,24,20,20,24,24,26,18,24,25
goalsConcededPerMatch,1.84,1.34,1.58,1.79,1.82,1.03,1.39,1.21,2.13,2,1.26,0.56,0.61,1.38,1.26,1.71,1.03,1.55,1.45,1.21
saves,110,133,111,140,141,85,113,94,147,114,90,76,58,122,95,114,121,127,148,100
tackles,526,609,681,583,655,618,730,700,591,710,676,610,518,581,714,699,626,655,723,720
tackleSuccessPercent,57,60,58,54,57,59,61,63,61,60,58,61,63,60,61,61,60,60,54,57
blockedShots,108,128,89,89,112,199,139,140,116,114,133,141,194,130,118,138,142,128,114,118
interceptions,371,412,463,365,528,351,446,456,433,530,436,314,362,355,506,548,326,426,457,501
clearances,1019,762,921,1080,978,593,940,825,971,658,945,639,543,785,1120,1068,770,956,855,824
headedClearances,515,404,499,539,448,330,467,430,443,246,500,317,295,370,564,502,411,447,397,464
aerialBattlesWon,2676,2489,2914,3209,3252,2548,2868,3211,2781,3018,3074,2518,2344,2683,2875,2863,2566,2855,2780,2998
errorsLeadingToGoals,11,13,5,5,8,3,5,7,12,11,4,4,2,8,5,10,6,7,5,3
ownGoals,3,2,0,4,0,0,1,2,2,1,0,0,0,3,1,3,3,3,2,4
yellowCards,60,72,60,75,66,49,58,55,68,55,57,38,44,73,57,71,56,77,59,72
redCards,1,2,4,1,1,0,2,4,2,4,5,2,1,4,2,3,3,4,1,1
fouls,170,227,235,172,196,169,224,250,209,232,210,185,193,221,266,217,225,231,182,223
offsides,57,89,90,106,77,83,78,69,90,63,72,77,98,90,59,61,74,89,72,73
