player,club,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,influence,creativity,threat,iCTIndex
Robertson,LIV,1,WHU (H) 4-0,11,90,0,1,1,0,32.2,30.3,10,7.3
Robertson,LIV,2,CRY (A) 0-2,7,90,0,0,1,0,17.6,27.4,10,5.5
Robertson,LIV,3,BHA (H) 1-0,9,90,0,0,1,0,18,48.7,10,7.7
Robertson,LIV,4,LEI (A) 1-2,5,90,0,1,0,1,32,12.8,6,5.1
Robertson,LIV,5,TOT (A) 1-2,2,90,0,0,0,1,20.4,12.2,0,3.3
Robertson,LIV,6,SOU (H) 3-0,7,90,0,0,1,0,16.2,6.8,6,2.9
Robertson,LIV,7,CHE (A) 1-1,2,90,0,0,0,1,12.4,18.2,2,3.3
Robertson,LIV,8,MCI (H) 0-0,6,90,0,0,1,0,14.4,13.6,4,3.2
Robertson,LIV,9,HUD (A) 0-1,8,90,0,0,1,0,16.8,3.3,28,4.8
Robertson,LIV,10,CAR (H) 4-1,0,0,0,0,0,0,0,0,0,0
Robertson,LIV,11,ARS (A) 1-1,2,90,0,0,0,1,12,1.7,17,3.1
Robertson,LIV,12,FUL (H) 2-0,12,90,0,1,1,0,38.8,29.6,23,9.1
Robertson,LIV,13,WAT (A) 0-3,7,90,0,0,1,0,14.8,20.3,8,4.3
Robertson,LIV,14,EVE (H) 1-0,6,90,0,0,1,0,17.4,18.3,2,3.8
Robertson,LIV,15,BUR (A) 1-3,0,0,0,0,0,0,0,0,0,0
Robertson,LIV,16,BOU (A) 0-4,11,90,0,1,1,0,21,23,8,5.2
Robertson,LIV,17,MUN (H) 3-1,2,90,0,0,0,1,17,51.4,8,7.6
Robertson,LIV,18,WOL (A) 0-2,6,90,0,0,1,0,14.8,16.8,0,3.2
Robertson,LIV,19,NEW (H) 4-0,6,81,0,0,1,0,7,18.3,6,3.1
Robertson,LIV,20,ARS (H) 5-1,1,82,0,0,0,1,8.6,2.8,0,1.1
Robertson,LIV,21,MCI (A) 2-1,5,90,0,1,0,2,32.4,14.6,2,4.9
Robertson,LIV,22,BHA (A) 0-1,9,90,0,0,1,0,18.6,19.8,4,4.2
Robertson,LIV,23,CRY (H) 4-3,5,90,0,1,0,3,41.6,42.5,30,11.4
Robertson,LIV,24,LEI (H) 1-1,2,90,0,0,0,1,8,9.8,11,2.9
Robertson,LIV,25,WHU (A) 1-1,2,90,0,0,0,1,10.8,4.4,5,2
Robertson,LIV,26,BOU (H) 3-0,9,90,0,1,1,0,44.4,25.8,2,7.2
Robertson,LIV,27,MUN (A) 0-0,8,90,0,0,1,0,10.4,12.3,6,2.9
Robertson,LIV,28,WAT (H) 5-0,13,90,0,2,1,0,43,27.3,8,7.8
Robertson,LIV,29,EVE (A) 0-0,5,90,0,0,1,0,20.6,22,2,4.5
Robertson,LIV,30,BUR (H) 4-2,1,90,0,0,0,2,14.2,34.2,22,7
Robertson,LIV,31,FUL (A) 1-2,2,90,0,0,0,1,16.2,35.3,41,9.3
Robertson,LIV,32,TOT (H) 2-1,8,90,0,1,0,1,35.2,18,4,5.7
Robertson,LIV,33,SOU (A) 1-3,1,90,0,0,0,1,14.2,22.3,2,3.9
Robertson,LIV,34,CHE (H) 2-0,6,90,0,0,1,0,11.4,19.4,2,3.3
Robertson,LIV,35,CAR (A) 0-2,6,90,0,0,1,0,19.6,9.2,0,2.9
Robertson,LIV,36,HUD (H) 4-0,9,78,0,1,1,0,0,0,0,0
vanDijk,LIV,1,WHU (H) 4-0,6,90,0,0,1,0,14.2,1.3,0,1.6
vanDijk,LIV,2,CRY (A) 0-2,6,90,0,0,1,0,26.4,1.7,4,3.2
vanDijk,LIV,3,BHA (H) 1-0,8,90,0,0,1,0,24.2,3.8,2,3
vanDijk,LIV,4,LEI (A) 1-2,1,90,0,0,0,1,20.6,0.3,0,2.1
vanDijk,LIV,5,TOT (A) 1-2,2,90,0,0,0,1,8.6,0.8,8,1.7
vanDijk,LIV,6,SOU (H) 3-0,1,54,0,0,0,0,24,0.8,0,2.5
vanDijk,LIV,7,CHE (A) 1-1,2,90,0,0,0,1,33,1.2,6,4
vanDijk,LIV,8,MCI (H) 0-0,6,90,0,0,1,0,18.6,0.4,0,1.9
vanDijk,LIV,9,HUD (A) 0-1,8,90,0,0,1,0,25.6,0.5,2,2.8
vanDijk,LIV,10,CAR (H) 4-1,2,90,0,0,0,1,12.2,2.6,8,2.3
vanDijk,LIV,11,ARS (A) 1-1,2,90,0,0,0,1,31,0.5,40,7.2
vanDijk,LIV,12,FUL (H) 2-0,7,90,0,0,1,0,24.2,1.8,16,4.2
vanDijk,LIV,13,WAT (A) 0-3,6,90,0,0,1,0,32,1.1,2,3.5
vanDijk,LIV,14,EVE (H) 1-0,12,90,0,1,1,0,24.6,0.8,17,4.2
vanDijk,LIV,15,BUR (A) 1-3,5,90,0,1,0,1,47,10.8,41,9.9
vanDijk,LIV,16,BOU (A) 0-4,6,90,0,0,1,0,14,1.3,0,1.5
vanDijk,LIV,17,MUN (H) 3-1,2,90,0,0,0,1,8,11.3,44,6.3
