player,club,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,influence,creativity,threat,iCTIndex
Aguero,MCI,1,ARS (A) 0-2,2,78,0,0,1,0,8.2,29.6,39,7.7
Aguero,MCI,2,HUD (H) 6-1,20,75,3,1,0,1,100.8,14.1,119,23.4
Aguero,MCI,3,WOL (A) 1-1,2,90,0,0,0,1,6.6,38.4,37,8.2
Aguero,MCI,4,NEW (H) 2-1,6,90,0,1,0,1,24.4,49.1,39,11.3
Aguero,MCI,5,FUL (H) 3-0,7,53,0,2,0,0,20.6,21.8,59,10.1
Aguero,MCI,6,CAR (A) 0-5,6,60,1,0,1,0,42,14.8,115,17.2
Aguero,MCI,7,BHA (H) 2-0,8,65,1,0,1,0,29.6,4.4,91,12.5
Aguero,MCI,8,LIV (A) 0-0,1,65,0,0,1,0,0,0.6,2,0.1
Aguero,MCI,9,BUR (H) 5-0,6,65,1,0,1,0,38.8,18,86,14.3
Aguero,MCI,10,TOT (A) 0-1,2,70,0,0,1,0,1.6,4.3,32,3.8
Aguero,MCI,11,SOU (H) 6-1,13,90,1,2,0,1,78.2,49.8,77,20.5
Aguero,MCI,12,MUN (H) 3-1,7,74,1,0,0,1,38,15.4,45,9.8
Aguero,MCI,13,WHU (A) 0-4,2,80,0,0,1,0,1.6,19.6,8,2.9
Aguero,MCI,14,BOU (H) 3-1,0,0,0,0,0,0,0,0,0,0
Aguero,MCI,15,WAT (A) 1-2,0,0,0,0,0,0,0,0,0,0
Aguero,MCI,16,CHE (A) 2-0,0,0,0,0,0,0,0,0,0,0
Aguero,MCI,17,EVE (H) 3-1,0,0,0,0,0,0,0,0,0,0
Aguero,MCI,18,CRY (H) 2-3,1,40,0,0,0,1,0.2,1.8,6,0.8
Aguero,MCI,19,LEI (A) 2-1,4,90,0,1,0,2,19,16.2,26,6.1
Aguero,MCI,20,SOU (A) 1-3,5,72,1,0,0,1,36.8,3.3,82,12.2
Aguero,MCI,21,LIV (H) 2-1,6,90,1,0,0,1,37.6,3.7,40,8.1
Aguero,MCI,22,WOL (H) 3-0,1,14,0,0,0,0,2,2.5,24,2.9
Aguero,MCI,23,HUD (A) 0-3,5,90,0,1,1,0,15,16.2,13,4.4
Aguero,MCI,24,NEW (A) 2-1,9,90,1,0,0,2,43.6,7.7,62,11.3
Aguero,MCI,25,ARS (H) 3-1,17,80,3,0,0,1,105.8,6.2,108,22
Aguero,MCI,25,EVE (A) 0-2,2,79,0,0,1,0,4.4,0.5,20,2.5
Aguero,MCI,26,CHE (H) 6-0,17,64,3,0,1,0,94,6.6,62,16.3
Aguero,MCI,28,WHU (H) 1-0,9,84,1,0,1,0,36.4,28.4,47,11.2
Aguero,MCI,29,BOU (A) 0-1,2,89,0,0,1,0,5,13.5,45,6.4
Aguero,MCI,30,WAT (H) 3-1,5,79,0,1,0,1,4.6,6.8,50,6.1
Aguero,MCI,32,FUL (A) 0-2,10,56,1,1,0,0,55.4,34.3,45,13.5
Aguero,MCI,32,CAR (H) 2-0,0,0,0,0,0,0,0,0,0,0
Aguero,MCI,34,CRY (A) 1-3,2,74,0,0,1,0,2.2,14.9,22,3.9
Aguero,MCI,35,TOT (H) 1-0,5,65,0,1,1,0,18.4,24.8,32,7.5
Aguero,MCI,35,MUN (A) 0-2,2,88,0,0,1,0,1.4,14.7,11,2.7
Aguero,MCI,36,BUR (A),0,0,0,0,0,0,0,0,0,0
Aubameyang,ARS,1,MCI (H) 0-2,2,90,0,0,0,2,1,12.2,1,1.4
Aubameyang,ARS,2,CHE (A) 3-2,2,90,0,0,0,3,4.2,11.1,32,4.7
Aubameyang,ARS,3,WHU (H) 3-1,2,74,0,0,0,1,13.4,52.3,28,9.4
Aubameyang,ARS,4,CAR (A) 2-3,8,88,1,0,0,2,39.6,6.2,29,7.5
Aubameyang,ARS,5,NEW (A) 1-2,5,68,0,1,1,0,0,4,12,1.6
Aubameyang,ARS,6,EVE (H) 2-0,7,68,1,0,1,0,41.4,12.5,31,8.5
Aubameyang,ARS,7,WAT (H) 2-0,2,76,0,0,1,0,4.8,13,2,2
